venue,title,year,authors,entityUrl
VLDB,Fast Algorithms for Maintaining Replica Consistency in Lazy Master Replicated Databases,1999,"Eric Simon, Esther Pacitti, Pascale Minet",conf/vldb/PacittMS99
VLDB,Scalablity and Availability in Oracle7 7.3,1996,Dieter Gawlick,conf/vldb/Gawlick96
VLDB,Algorithms for Mining Distance-Based Outliers in Large Datasets,1998,"Raymond T. Ng, Edwin M. Knorr",conf/vldb/KnorrN98
SIGMOD Conference,Automating physical database design in a parallel database,2002,"Chun Zhang, Guy M. Lohman, Jun Rao, Nimrod Megiddo",conf/sigmod/RaoZML02
VLDB,Fast Time Sequence Indexing for Arbitrary Lp Norms,2000,"Christos Faloutsos, Byoung-Kee Yi",conf/vldb/YiF00
SIGMOD Record,On the Issue of Valid Time(s) in Temporal Databases,1995,"Themis Panayiotopoulos, Efstathios V. Ioannidis, Constantine D. Spyropoulos, Stavros Kokkotos",journals/sigmod/KokkotosIPS95
VLDB,An Algebraic Approach to Rule Analysis in Expert Database Systems,1994,"Jennifer Widom, Elena Baralis",conf/vldb/BaralisW94
VLDB,A Formal Perspective on the View Selection Problem,2001,"Dan Suciu, Rada Chirkova, Alon Y. Halevy",conf/vldb/ChirkovaHS01
SIGMOD Record,Semantic and Pedagogic Interoperability Mechanisms in the ARIADNE Educational Repository,1999,"Erik Duval, Eddy Forte, Kris Cardinaels, Koen Hendrikx, Florence Haenni, Maria Wentland Forte, Florence Simillion, Ken Warkentyne, E. Vervaet",journals/sigmod/ForteHWDCVHFS99
SIGMOD Conference,Concurrency and Recovery in Generalized Search Trees,1997,"C. Mohan, Joseph M. Hellerstein, Marcel Kornacker",conf/sigmod/KornackerMH97
VLDB,Parametric Query Optimization for Linear and Piecewise Linear Cost Functions,2002,"S. Sudarshan, Arvind Hulgeri",conf/vldb/HulgeriS02
VLDB,Approximate String Joins in a Database (Almost) for Free,2001,"Luis Gravano, H. V. Jagadish, Panagiotis G. Ipeirotis, S. Muthukrishnan, Divesh Srivastava, Nick Koudas",conf/vldb/GravanoIJKMS01
SIGMOD Record,Editor's (Farewell) Notes,1995,Arie Segev,journals/sigmod/Segev95
VLDB,Histogram-Based Approximation of Set-Valued Query-Answers,1999,"Viswanath Poosala, Yannis E. Ioannidis",conf/vldb/IoannidisP99
VLDB,To Weave the Web,1997,"Paolo Merialdo, Giansalvatore Mecca, Paolo Atzeni",conf/vldb/AtzeniMM97
VLDB,The Oracle Universal Server Buffer,1997,"Ashok Joshi, N. MacNaughton, Juan Loaiza, M. Keihl, Tirthankar Lahiri, William Bridge",conf/vldb/BridgeJKLLM97
VLDB,Discovery of Influence Sets in Frequently Updated Databases,2001,"Ioana Stanoi, Amr El Abbadi, Divyakant Agrawal, Mirek Riedewald",conf/vldb/StanoiRAA01
SIGMOD Record,Editor's Notes,2001,Ling Liu,journals/sigmod/Liu01
VLDB J.,Maintenance of Implication Integrity Constraints Under Updates to Constraints,1998,"Naci Ishakbeyoglu, Z. Meral �zsoyoglu",journals/vldb/IshakbeyogluO98
VLDB,Redo Recovery after System Crashes,1995,"Mark R. Tuttle, David B. Lomet",conf/vldb/LometT95
SIGMOD Conference,Middle-tier database caching for e-business,2002,"Hamid Pirahesh, C. Mohan, Jeffrey F. Naughton, Sailesh Krishnamurthy, Honguk Woo, Qiong Luo, Bruce G. Lindsay",conf/sigmod/LuoKMPWLN02
VLDB,Atomicity versus Anonymity: Distributed Transactions for Electronic Commerce,1998,J. D. Tygar,conf/vldb/Tygar98
ACM Trans. Database Syst.,An Adaptive Data Replication Algorithm,1997,"Ouri Wolfson, Yixiu Huang, Sushil Jajodia",journals/tods/WolfsonJH97
SIGMOD Conference,Temporal Aggregation in Active Database Rules,1997,"Iakovos Motakis, Carlo Zaniolo",conf/sigmod/MotakisZ97
VLDB,Generalized Search Trees for Database Systems,1995,"Jeffrey F. Naughton, Avi Pfeffer, Joseph M. Hellerstein",conf/vldb/HellersteinNP95
SIGMOD Record,Editor's Notes,1995,Jennifer Widom,journals/sigmod/Widom95a
SIGMOD Conference,Fast-Start: Quick Fault Recovery in Oracle,2001,"Ashok Joshi, Ron Weiss, Amit Ganesh, Tirthankar Lahiri",conf/sigmod/LahiriG01
SIGMOD Conference,A Toolkit for Negotiation Support Interfaces to Multi-Dimensional Data,1997,"Matthias Jarke, Stephan Jacobs, Michael Gebhardt",conf/sigmod/GebhardtJJ97
SIGMOD Record,"Announcements from NSF, NASA, and Elsewhere",1994,Xiaolei Qian,journals/sigmod/Qian94a
SIGMOD Conference,Fractal prefetching B�Trees: optimizing both cache and disk performance,2002,"Phillip B. Gibbons, Gary Valentin, Todd C. Mowry, Shimin Chen",conf/sigmod/ChenGMV02
VLDB,Schema Mapping as Query Discovery,2000,"Ren�e J. Miller, Mauricio A. Hern�ndez, Laura M. Haas",conf/vldb/MillerHH00
SIGMOD Conference,Object-Oriented Features of DB2 Client/Server,1994,Hamid Pirahesh,conf/sigmod/Pirahesh94
SIGMOD Record,The n-Tier Hub Technology,2002,"Rainer A. Sommer, David Bailey, Thomas R. Gulledge",journals/sigmod/SommerGB02
SIGMOD Conference,Integration of Heterogeneous Databases Without Common Domains Using Queries Based on Textual Similarity,1998,William W. Cohen,conf/sigmod/Cohen98
SIGMOD Conference,New Sampling-Based Summary Statistics for Improving Approximate Query Answers,1998,"Phillip B. Gibbons, Yossi Matias",conf/sigmod/GibbonsM98
SIGMOD Conference,Performance Tradeoffs for Client-Server Query Processing,1996,"Donald Kossmann, Michael J. Franklin, Bj�rn ��r J�nsson",conf/sigmod/FranklinJK96
SIGMOD Record,Selective information dissemination in P2P networks: problems and solutions,2003,"Stratos Idreos, Manolis Koubarakis, Christos Tryfonopoulos, Yannis Drougas",journals/sigmod/KoubarakisTID03
SIGMOD Conference,Self-tuning Histograms: Building Histograms Without Looking at Data,1999,"Surajit Chaudhuri, Ashraf Aboulnaga",conf/sigmod/AboulnagaC99
SIGMOD Record,Lore: A Database Management System for Semistructured Data,1997,"Roy Goldman, Serge Abiteboul, Jennifer Widom, Dallan Quass, Jason McHugh",journals/sigmod/McHughAGQW97
VLDB,DB2 Spatial Extender - Spatial data within the RDBMS,2001,David W. Adler,conf/vldb/Adler01
VLDB,Identifying Representative Trends in Massive Time Series Data Sets Using Sketches,2000,"S. Muthukrishnan, Nick Koudas, Piotr Indyk",conf/vldb/KoudasIM00
SIGMOD Conference,Warping Indexes with Envelope Transforms for Query by Humming,2003,"Dennis Shasha, Yunyue Zhu",conf/sigmod/ZhuS03
VLDB,OBK - An Online High Energy Physics' Meta-Data Repository,2002,"L. Pedro, V. Kotov, I. Papadopoulos, L. Mapelli, A. Ribeiro, A. Amorim, R. Hart, M. Nassiakou, H. Wolters, N. Parrington, D. Liko, Yu. Ryabov, R. Jones, I. Alexandrov, L. Lucio, I. Soloviev, M. Caprini, E. Badescu, S. Kolos, M. Dobson, L. Moneta, D. Schweiger, M. Barczyk, A. Kazarov, D. Burckhart-Chromek, M. Mineev, J. Flammer",conf/vldb/AlexandrovABBBCDFHJKKKLLMMMPNPPRRSSW02
SIGMOD Conference,"Data Mining Using Two-Dimensional Optimized Accociation Rules: Scheme, Algorithms, and Visualization",1996,"Shinichi Morishita, Yasuhiko Morimoto, Takeshi Tokuyama, Takeshi Fukuda",conf/sigmod/FukudaMMT96
VLDB,A Top-Down Approach for Two Level Serializability,1994,"N. L. Belkhodja, Mourad Ouzzani, M. A. Atroun",conf/vldb/OuzzaniAB94
VLDB,Xcerpt and visXcerpt: From Pattern-Based to Visual Querying of XML and Semistructured Data,2003,"Sacha Berger, Christoph Wieser, Sebastian Schaffert, Fran�ois Bry",conf/vldb/BergerBSW03
SIGMOD Conference,Query Unnesting in Object-Oriented Databases,1998,Leonidas Fegaras,conf/sigmod/Fegaras98
VLDB,An Evaluation of Generic Bulk Loading Techniques,2001,"Jochen Van den Bercken, Bernhard Seeger",conf/vldb/BerckenS01
VLDB,Scientific OLAP for the Biotech Domain,2001,Nam Huyn,conf/vldb/Huyn01
SIGMOD Conference,Privacy-Preserving Data Mining,2000,"Ramakrishnan Srikant, Rakesh Agrawal",conf/sigmod/AgrawalS00
SIGMOD Conference,Evaluating Probabilistic Queries over Imprecise Data,2003,"Reynold Cheng, Dmitri V. Kalashnikov, Sunil Prabhakar",conf/sigmod/ChengKP03
SIGMOD Record,Managing uncertainty in sensor database,2003,"Sunil Prabhakar, Reynold Cheng",journals/sigmod/ChengP03
SIGMOD Conference,Fault Tolerant Design of Multimedia Servers,1995,"Richard R. Muntz, Leana Golubchik, Steven Berson",conf/sigmod/BersonGM95
SIGMOD Record,Edgar F. Codd: a tribute and personal memoir,2003,C. J. Date,journals/sigmod/Date03
SIGMOD Record,New TPC Benchmarks for Decision Support and Web Commerce,2000,"Meikel P�ss, Chris Floyd",journals/sigmod/PoessF00
SIGMOD Record,Energy and rate based MAC protocol for wireless sensor networks,2003,"Ramaraju Kalidindi, Vijay Kumar, Rajgopal Kannan, S. Sitharama Iyengar",journals/sigmod/KannanKIK03
VLDB,Distributed Top-N Query Processing with Possibly Uncooperative Local Systems,2003,"Clement T. Yu, Weiyi Meng, George Philip",conf/vldb/YuPM03
VLDB,Searching on the Secondary Structure of Protein Sequences,2002,"Jignesh M. Patel, Laurie Hammel",conf/vldb/HammelP02
SIGMOD Record,Guest editor's introduction,2003,Karl Aberer,journals/sigmod/Aberer03c
SIGMOD Conference,Efficient Concurrency Control for Broadcast Environments,1999,"Arvind Nithrakashyap, Rajendran M. Sivasankaran, Jayavel Shanmugasundaram, Krithi Ramamritham",conf/sigmod/ShanmugasundaramNSR99
VLDB,Mining Generalized Association Rules,1995,"Ramakrishnan Srikant, Rakesh Agrawal",conf/vldb/SrikantA95
SIGMOD Record,Mobile Computing and Databases: Anything New?,1995,"Margaret H. Dunham, Abdelsalam Helal",journals/sigmod/DunhamH95a
SIGMOD Record,Research issues for data communication in mobile ad-hoc network database systems,2003,"Leslie D. Fife, Le Gruenwald",journals/sigmod/FifeG03
SIGMOD Conference,Association Rules over Interval Data,1997,"Ren�e J. Miller, Yuping Yang",conf/sigmod/YangM97
SIGMOD Record,XPath processing in a nutshell,2003,"Reinhard Pichler, Christoph Koch, Georg Gottlob",journals/sigmod/GottlobKP03a
SIGMOD Conference,Location-based Spatial Queries,2003,"Jun Zhang, Dimitris Papadias, Manli Zhu, Yufei Tao, Dik Lun Lee",conf/sigmod/ZhangZPTL03
VLDB,Building and Customizing Data-Intensive Web Sites Using Weave,2000,"Val�rie Issarny, Patrick Valduriez, Khaled Yagoub, Daniela Florescu",conf/vldb/YagoubFIV00a
SIGMOD Conference,STHoles: A Multidimensional Workload-Aware Histogram,2001,"Luis Gravano, Nicolas Bruno, Surajit Chaudhuri",conf/sigmod/BrunoCG01
SIGMOD Record,Contextualizing the Information Space in Federated Digital Libraries,1999,"Jeroen Hoppenbrouwers, Mike P. Papazoglou",journals/sigmod/PapazoglouH99
VLDB J.,A formal perspective on the view selection problem,2002,"Rada Chirkova, Dan Suciu, Alon Y. Halevy",journals/vldb/ChirkovaHS02
VLDB,Databases and Workflow Management: What is it All About? (Panel),1995,"Jim Gray, Betty Salzberg, Stefano Ceri, Andreas Reuter, Gerhard Weikum",conf/vldb/ReuterCGSW95
SIGMOD Record,Industry Perspectives,1997,Leonard J. Seligman,journals/sigmod/Seligman97
VLDB,Quotient Cube: How to Summarize the Semantics of a Data Cube,2002,"Laks V. S. Lakshmanan, Jian Pei, Jiawei Han",conf/vldb/LakshmananPH02
SIGMOD Conference,Finding Generalized Projected Clusters In High Dimensional Spaces,2000,"Charu C. Aggarwal, Philip S. Yu",conf/sigmod/AggarwalY00
SIGMOD Record,Hector Garcia-Molina Speaks Out,2002,Marianne Winslett,journals/sigmod/Winslett02b
SIGMOD Conference,Efficient Maintenance of Materialized Mediated Views,1995,"James J. Lu, Guido Moerkotte, Joachim Sch�, V. S. Subrahmanian",conf/sigmod/LuMSS95
VLDB,Improving Performance in Replicated Databases through Relaxed Coherency,1995,"Rainer Gallersd�rfer, Matthias Nicola",conf/vldb/GallersdorferN95
VLDB,Supporting Procedural Constructs in SQL Compilers,1996,Nelson Mendon�a Mattos,conf/vldb/Mattos96
VLDB,The Zero Latency Enterprise,2000,Dave Liles,conf/vldb/Ladin00
SIGMOD Record,An environmental sensor network to determine drinking water quality and security,2003,"Jeanne VanBriesen, Paul S. Fischbeck, Christos Faloutsos, Anastassia Ailamaki, Mitchell J. Small",journals/sigmod/AilamakiFFSV03
ACM Trans. Database Syst.,Top-k selection queries over relational databases: Mapping strategies and performance evaluation,2002,"Surajit Chaudhuri, Nicolas Bruno, Luis Gravano",journals/tods/BrunoCG02
ACM Trans. Database Syst.,Indexing Large Metric Spaces for Similarity Search Queries,1999,"Z. Meral �zsoyoglu, Tolga Bozkaya",journals/tods/BozkayaO99
SIGMOD Conference,Approximating Multi-Dimensional Aggregate Range Queries over Real Attributes,2000,"Carlotta Domeniconi, Vassilis J. Tsotras, George Kollios, Dimitrios Gunopulos",conf/sigmod/GunopulosKTD00
VLDB,Linking Business to Deliver Value: A Data Management Challenge,2000,Anand Deshpande,conf/vldb/Deshpande00
SIGMOD Conference,VisDB: A System for Visualizing Large Databases,1995,"Hans-Peter Kriegel, Daniel A. Keim",conf/sigmod/KeimK95
VLDB,WaveCluster: A Multi-Resolution Clustering Approach for Very Large Spatial Databases,1998,"Surojit Chatterjee, Gholamhosein Sheikholeslami, Aidong Zhang",conf/vldb/SheikholeslamiCZ98
SIGMOD Conference,MPEG-7 Standard for Multimedia Databases,2001,John R. Smith,conf/sigmod/Smith01
SIGMOD Conference,On Effective Multi-Dimensional Indexing for Strings,2000,"Nick Koudas, H. V. Jagadish, Divesh Srivastava",conf/sigmod/JagadishKS00
SIGMOD Conference,E-Commerce Database Issues and Experience,1999,Anand Rajaraman,conf/sigmod/Rajaraman99
VLDB,enTrans: A System for Flexible Consistency Maintenance in Directory Applications,2002,"Anandi Herlekar, Atul Deopujari, Shaymsunder Gopale, Shridhar Shukla, Krithi Ramamritham",conf/vldb/HerlekarDRGS02
SIGMOD Conference,The Design of an Acquisitional Query Processor For Sensor Networks,2003,"Samuel Madden, Wei Hong, Joseph M. Hellerstein, Michael J. Franklin",conf/sigmod/MaddenFHH03
SIGMOD Conference,Dynamic Sample Selection for Approximate Query Processing,2003,"Gautam Das, Surajit Chaudhuri, Brian Babcock",conf/sigmod/BabcockCD03
SIGMOD Conference,Changing the Rules: Transformations for Rule-Based Optimizers,1998,"Mitch Cherniack, Stanley B. Zdonik",conf/sigmod/CherniackZ98
VLDB,Potter's Wheel: An Interactive Data Cleaning System,2001,"Joseph M. Hellerstein, Vijayshankar Raman",conf/vldb/RamanH01
VLDB,Staircase Join: Teach a Relational DBMS to Watch its (Axis) Steps,2003,"Jens Teubner, Torsten Grust, Maurice van Keulen",conf/vldb/GrustKT03
VLDB,Near Neighbor Search in Large Metric Spaces,1995,Sergey Brin,conf/vldb/Brin95
VLDB,Robust Estimation With Sampling and Approximate Pre-Aggregation,2003,Chris Jermaine,conf/vldb/Jermaine03
SIGMOD Record,Jumping on the NII Bandwagon,1994,Xiaolei Qian,journals/sigmod/Qian94
SIGMOD Conference,OminiSearch: A Method for Searching Dynamic Content on the Web,2001,"Henrique Paques, Ling Liu, David Buttler, Calton Pu",conf/sigmod/ButtlerLPP01
SIGMOD Conference,Mid-tier caching: the TimesTen approach,2002,Times-Ten Team,conf/sigmod/Team02
VLDB,"Don't Be Lazy, Be Consistent: Postgres-R, A New Way to Implement Database Replication",2000,"Bettina Kemme, Gustavo Alonso",conf/vldb/KemmeA00
SIGMOD Record,Engineering Federated Information Systems: Report of EFIS '99 Workshop,1999,"F�lix Saltor, Uwe Hohenstein, Ralf-Detlef Kutsche, Wilhelm Hasselbring, Gunter Saake, Stefan Conrad, Mark Roantree",journals/sigmod/ConradHHKRSS99
VLDB,Information Integration: The MOMIS Project Demonstration,2000,"Michele Melchiori, Silvana Castano, G. Malvezzi, Domenico Beneventano, R. Guidetti, Alberto Corni, Sonia Bergamaschi, Maurizio Vincini",conf/vldb/BeneventanoBCCGMMV00
SIGMOD Record,On the Cost of Monitoring and Reorganization of Object Bases for Clustering,1996,"Guido Moerkotte, Alfons Kemper, Carsten Andreas Gerlhof",journals/sigmod/GerlhofKM96
SIGMOD Record,Florida International University High Performance Database Research Center,1995,"Leonard Loureiro, Yi Deng, Carlos Ordonez 0002, Mario Sanchez, Cyril U. Orji, Wei Sun, Artyom Shaposhnikov, Naphtali Rishe, Michael Alexopoulos, David Barton",journals/sigmod/RisheSBDOALOSS95
VLDB,Using Versions in Update Transactions: Application to Integrity Checking,1997,"Dimitri Tombroff, Eric Simon, Fran�ois Llirbat",conf/vldb/LlirbatST97
SIGMOD Conference,An Array-Based Algorithm for Simultaneous Multidimensional Aggregates,1997,"Jeffrey F. Naughton, Yihong Zhao, Prasad Deshpande",conf/sigmod/ZhaoDN97
SIGMOD Record,Query Previews for Networked Information Systems: A Case Study with NASA Environmental Data,1997,"Khoa Doan, Catherine Plaisant, Ben Shneiderman, Tom Bruns",journals/sigmod/DoanPSB97
SIGMOD Conference,Integrating Mining with Relational Database Systems: Alternatives and Implications,1998,"Shiby Thomas, Rakesh Agrawal, Sunita Sarawagi",conf/sigmod/SarawagiTA98
SIGMOD Record,Min-Max Compression Methods for Medical Image Databases,1997,"John M. Tyler, Kosmas Karadimitriou",journals/sigmod/KaradimitriouT97
SIGMOD Record,The Mariposa Distributed Database Management System,1996,Jeff Sidell,journals/sigmod/Sidell96
VLDB,"O-O, What Have They Done to DB2?",1999,"Bennet Vance, Richard Swagerman, Michael J. Carey, Srinivasa Narayanan, Nelson Mendon�a Mattos, Donald D. Chamberlin, Doug Doole, Serge Rielau",conf/vldb/CareyCNVDRSM99
SIGMOD Conference,Two Techniques for On-Line Index Modification in Shared Nothing Parallel Databases,1996,"Shamkant B. Navathe, Kiran J. Achyutuni, Edward Omiecinski",conf/sigmod/AchyutuniON96
VLDB,Query Engines for Web-Accessible XML Data,2001,"Ramez Elmasri, Leonidas Fegaras",conf/vldb/FegarasE01
VLDB,Capturing Global Transactions from Multiple Recovery Log Files in a Partitioned Database System,2003,"Elizabeth Hamel, Serge Bourbonnais, Bruce G. Lindsay, Tuong C. Truong, Chengfei Liu, Jens Stankiewitz",conf/vldb/LiuLBHTS03
VLDB J.,An Internet-based negotiation server for e-commerce,2001,"Joachim Hammer, Youzhong Liu, Chunbo Huang, Yihua Huang, Herman Lam, Liu Wang, Haifei Li, Stanley Y. W. Su, Charnyote Pluempitiwiriyawej, Minsoo Lee",journals/vldb/SuHHHLWLPLL01
ACM Trans. Database Syst.,A logical foundation for deductive object-oriented databases,2002,"Mengchi Liu, Tok Wang Ling, Gillian Dobbie",journals/tods/LiuDL02
SIGMOD Conference,A Layered Architecture for Querying Dynamic Web Content,1999,"Hasan Davulcu, Michael Kifer, I. V. Ramakrishnan, Juliana Freire",conf/sigmod/DavulcuFKR99
SIGMOD Record,Unpacking The Semantics of Source and Usage To Perform Semantic Reconciliation In Large-Scale Information Systems,1999,"Ken Smith, Leo Obrst",journals/sigmod/SmithO99
VLDB J.,Analysis of Navigation Behaviour in Web Sites Integrating Multiple Information Systems,2000,"Myra Spiliopoulou, Bettina Berendt",journals/vldb/BerendtS00
SIGMOD Record,Vice Chair's Message,1999,Z. Meral �zsoyoglu,journals/sigmod/Ozsoyoglu99
ACM Trans. Database Syst.,A Normal Form for Precisely Characterizing Redundancy in Nested Relations,1996,"Yiu-Kai Ng, David W. Embley, Wai Yin Mok",journals/tods/MokNE96
VLDB,Approximate Query Processing Using Wavelets,2000,"Kyuseok Shim, Kaushik Chakrabarti, Minos N. Garofalakis, Rajeev Rastogi",conf/vldb/ChakrabartiGRS00
VLDB,ACTIVIEW: Adaptive data presentation using SuperSQL,2001,"Motomichi Toyama, Yoko Maeda",conf/vldb/MaedaT01
VLDB,Bypassing Joins in Disjunctive Queries,1995,"Alfons Kemper, Guido Moerkotte, Klaus Peithner, Michael Steinbrunn",conf/vldb/SteinbrunnPMK95
VLDB,Applying Data Mining Techniques to a Health Insurance Information System,1996,"Michael J. Rothman, John P. Nearhos, Marisa S. Viveros",conf/vldb/ViverosNR96
SIGMOD Record,On Views and XML,1999,Serge Abiteboul,journals/sigmod/Abiteboul99
SIGMOD Record,Mining Fuzzy Association Rules in Databases,1998,"Ada Wai-Chee Fu, Man Hon Wong, Chan Man Kuok",journals/sigmod/KuokFW98
VLDB,Self-tuning Database Technology and Information Services: from Wishful Thinking to Viable Engineering,2002,"Peter Zabback, Christof Hasse, Gerhard Weikum, Axel M�nkeberg",conf/vldb/WeikumMHZ02
SIGMOD Record,DeeDS Towards a Distributed and Active Real-Time Database System,1996,"Joakim Eriksson, Jonas Mellin, Sten Andler, Mikael Berndtsson, Bengt Eftring, J�rgen Hansson",journals/sigmod/AndlerHEMBE96
SIGMOD Conference,Experiences in Mining Aviation Safety Data,2001,"Zohreh Nazeri, Paul Ostwald, Eric Bloedorn",conf/sigmod/NazeriBO01
SIGMOD Conference,Adaptive Filters for Continuous Queries over Distributed Data Streams,2003,"Jennifer Widom, Chris Olston, Jing Jiang",conf/sigmod/OlstonJW03
SIGMOD Conference,Semantic Assumptions and Query Evaluation in Temporal Databases,1995,"Sushil Jajodia, Xiaoyang Sean Wang, Elisa Bertino, Claudio Bettini",conf/sigmod/BettiniWBJ95
SIGMOD Conference,Hardware Acceleration for Spatial Selections and Joins,2003,"Chengyu Sun, Divyakant Agrawal, Amr El Abbadi",conf/sigmod/SunAA03
VLDB J.,Data Partitioning and Load Balancing in Parallel Disk Systems,1998,"Gerhard Weikum, Peter Zabback, Peter Scheuermann",journals/vldb/ScheuermannWZ98
VLDB J.,Dictionary-Based Order-Preserving String Compression,1997,Gennady Antoshenkov,journals/vldb/Antoshenkov97
SIGMOD Record,"A Response to R. Camps' Article ``Domains, Relations and Religious Wars''",1996,C. J. Date,journals/sigmod/Date96
SIGMOD Record,Chair's Message,2001,M. Tamer �zsu,journals/sigmod/Ozsu01a
SIGMOD Conference,An Alternative Storage Organization for ROLAP Aggregate Views Based on Cubetrees,1998,"Yannis Kotidis, Nick Roussopoulos",conf/sigmod/KotidisR98
SIGMOD Record,Editor's Notes,1999,Michael J. Franklin,journals/sigmod/Franklin99b
SIGMOD Conference,Capturing both Types and Constraints in Data Integration,2003,"Juliana Freire, Rajeev Rastogi, Michael Benedikt, Wenfei Fan, Chee Yong Chan",conf/sigmod/BenediktCFFR03
SIGMOD Record,"Preservation of Digital Data with Self-Validating, Self-Instantiating Knowledge-Based Archives",2001,"Reagan Moore, Bertram Lud�scher, Richard Marciano",journals/sigmod/LudascherMM01
ACM Trans. Database Syst.,Tools and Transformations - Rigorous and Otherwise - for Practical Database Design,1994,"David S. Reiner, Arnon Rosenthal",journals/tods/RosenthalR94
SIGMOD Record,Normalization in OODB Design,1995,Byung Suk Lee,journals/sigmod/Lee95
VLDB,Scientific Journals: Extinction or Explosion? (Panel),1995,"Gio Wiederhold, Abraham Silberschatz, Gerhard Rossbach, Raghu Ramakrishnan, Jaco Zijlstra, Hector Garcia-Molina",conf/vldb/RamakrishnanGRSWZ95
VLDB,Using Schema Matching to Simplify Heterogeneous Data Translation,1998,"Tova Milo, Sagit Zohar",conf/vldb/MiloZ98
VLDB,An Asynchronous Avoidance-Based Cache Consistency Algorithm for Client Caching DBMSs,1998,"Ronald C. Unrau, Kaladhar Voruganti, M. Tamer �zsu",conf/vldb/OzsuVU98
SIGMOD Conference,Multi-Dimensional Clustering: A New Data Layout Scheme in DB2,2003,"Bishwaranjan Bhattacharjee, Sriram Padmanabhan, Matthew Huras, Leslie Cranston, Timothy Malkemus",conf/sigmod/PadmanabhanBMCH03
VLDB,Incorporating XSL Processing into Database Engines,2002,Guido Moerkotte,conf/vldb/Moerkotte02
VLDB,Streaming Queries over Streaming Data,2002,"Michael J. Franklin, Sirish Chandrasekaran",conf/vldb/ChandrasekaranF02
VLDB,E.piphany Epicenter Technology Overview,2000,Sridhar Ramaswamy,conf/vldb/Ramaswamy00
SIGMOD Conference,A Unified Framework for Enforcing Multiple Access Control Policies,1997,"V. S. Subrahmanian, Elisa Bertino, Pierangela Samarati, Sushil Jajodia",conf/sigmod/JajodiaSSB97
VLDB J.,A case for fractured mirrors,2003,"David J. DeWitt, Ravishankar Ramamurthy, Qi Su",journals/vldb/RamamurthyDS03
SIGMOD Conference,Building Notification Services with Microsoft SQLServer,2003,Praveen Seshadri,conf/sigmod/Seshadri03
VLDB,Mining Deviants in a Time Series Database,1999,"S. Muthukrishnan, H. V. Jagadish, Nick Koudas",conf/vldb/KoudasMJ99
VLDB,Querying Multiple Features of Groups in Relational Databases,1996,"Damianos Chatziantoniou, Kenneth A. Ross",conf/vldb/ChatziantoniouR96
VLDB,Hypothetical Queries in an OLAP Environment,2000,"Thanos Papadimitriou, Andrey Balmin, Yannis Papakonstantinou",conf/vldb/BalminPP00
SIGMOD Record,Mining Email Content for Author Identification Forensics,2001,"George M. Mohay, M. Corney, A. Anderson, Olivier Y. de Vel",journals/sigmod/VelACM01
SIGMOD Conference,Computing Capabilities of Mediators,1999,"Chen Li, Ramana Yerneni, Jeffrey D. Ullman, Hector Garcia-Molina",conf/sigmod/YerneniLGU99
SIGMOD Conference,The STRIP Rule System For Efficiently Maintaining Derived Data,1997,"Hector Garcia-Molina, Jennifer Widom, Brad Adelberg",conf/sigmod/AdelbergGW97
VLDB,Adaptive Index Structures,2002,"Yufei Tao, Dimitris Papadias",conf/vldb/TaoP02
VLDB,Functional Properties of Information Filtering,2001,"Masahiko Tsukamoto, Shojiro Nishio, Tsutomu Terada, Rie Sawai, Yin-Huei Loh",conf/vldb/NishioSTTL01
SIGMOD Conference,Incremental Updates of Inverted Lists for Text Document Retrieval,1994,"Hector Garcia-Molina, Anthony Tomasic, Kurt A. Shoens",conf/sigmod/TomasicGS94
SIGMOD Conference,Recovery Protocols for Shared Memory Database Systems,1995,"Lory D. Molesky, Krithi Ramamritham",conf/sigmod/MoleskyR95
SIGMOD Conference,HyperStorM - Administering Structured Documents Using Object-Oriented Database Technology,1996,"Karl Aberer, Klemens B�hm",conf/sigmod/BohmA96
SIGMOD Conference,Multi-dimensional Resource Scheduling for Parallel Queries,1996,"Yannis E. Ioannidis, Minos N. Garofalakis",conf/sigmod/GarofalakisI96
VLDB,"Industrial Panel on Data Warehousing Technologies: Experiences, Challenges, and Directions",1999,Umeshwar Dayal,conf/vldb/Dayal99
VLDB,2Q: A Low Overhead High Performance Buffer Management Replacement Algorithm,1994,"Dennis Shasha, Theodore Johnson",conf/vldb/JohnsonS94
SIGMOD Conference,HD-Eye: visual clustering of high dimensional data,2002,"Daniel A. Keim, Markus Wawryniuk, Alexander Hinneburg",conf/sigmod/HinneburgKW02
VLDB,Intelligent Rollups in Multidimensional OLAP Data,2001,"Sunita Sarawagi, Gayatri Sathe",conf/vldb/SatheS01
ACM Trans. Database Syst.,Theory of dependence values,2000,Rosa Meo,journals/tods/Meo00
SIGMOD Conference,A Multi-Similarity Algebra,1998,"V. S. Subrahmanian, Sibel Adali, Maria Luisa Sapino, Piero A. Bonatti",conf/sigmod/AdaliBSS98
VLDB,The Challenge of Process Data Warehousing,2000,"Matthias Jarke, J�rg K�ller, Thomas List",conf/vldb/JarkeKL00
SIGMOD Record,Report on NGITS'99: The 4th International Workshop on Next Generation Information Technologies and Systems,1999,Opher Etzion,journals/sigmod/Etzion99
SIGMOD Record,Scientist's Called Upon to Take Actions,1996,Xiaolei Qian,journals/sigmod/Qian96a
VLDB,Temporal Queries in OLAP,2000,"Alberto O. Mendelzon, Alejandro A. Vaisman",conf/vldb/MendelzonV00
