id,title,starring,entityUrl,writer,editor
19580,,Mario Moreno Reyes,Match4671,Antonio Guzmán Aguilera,
19581,Spaghetti,Oliver Hardy,Match1232,,
19582,,Clarence Muse,Match10793,Walter Weems,
19583,Elizabeth I,Hugh Dancy,Match3077,Nigel Williams (author),
19584,The Saint's Vacation,Hugh Sinclair (actor),Match3414,Getaway (The Saint),
19585,,Mark O'Donnell,Match870,George Walton Lucas Jr.,
19586,,Charuprakash Ghosh,Match17292,Tarashankar Bandopadhyay,
19587,,Geneviève Bujold,Match2003,Jorge Semprún,
19588,L'Annu00E9e des mu00E9duses,Valérie Kaprisky,Match6481,Christopher Frank,
19589,Dalagang Ilocana,Gloria Romero (actress),Match1631,,
19590,,Noriko Tatsumi,Match11220,Dosuke Haguro,
19591,,"Roy Harold Scherer, Jr.",Match21718,Russell Rouse,
19592,Koyaanisqatsi,,Match18955,Ron Fricke,
19593,,Benicio Monserrate Rafael del Toro Su00E1nchez,Match20995,Max D. Adams,
19594,The Book of Pooh,Ken Sansom,D119594,Mark Zaslove,
19595,Happy Birthday to Me,Melissa Sue Anderson,Match10150,Peter Jobin,
19596,Each Time I Kill,Rob Vidal,D119596,Doris Wishman,
19597,The Milky Way,Paul Frankeur,Match3753,,
19598,Star Trek Generations,#Cast,Match4894,Ronald D. Moore,
19599,,Navdeep,D119599,,
19600,,Todd Tjersland,Match12748,Todd Tjersland,
19601,The Woman in Black,Pauline Moran,Match10832,Susan Hill,
19602,,Freark Smink,Match5123,Rudi van Dantzig,
19603,,Pia Kjærsgaard,D119603,"Morten Hartz Kaplers 
 Allan Milter Jakobsen",
19604,,"Cathrine Papoutsaki, Laertis Malkotsis, Zeta Douka",D119604,Nick Zapatinas,
19605,Step Brothers,John C. Reilly,Match3550,John William Ferrell,
19606,,Mar Sodupe,Match384,Dominique Mainard,
19607,,George Beech,Match18588,,
19608,Daddy,Konidela Siva Sankara Vara Prasad,D119608,Satyanand,
19609,Trouble Brewing,Oliver Hardy,Match19900,"James D. Davis
Larry Semon",
19610,The Enemy's Baby,Lionel Herbert Blythe,Match21246,B.F. Clinton,
19611,College,Joseph Frank Keaton VI,Match1473,Carl Harbaugh,
19612,Parumu no Ki,,Match13859,Takashi Nakamura,
19613,The Beast,"William Petersen
Karen Sillas
Charles Martin Smith
Ronald Guttman",Match22803,J.B. White,
19614,,Andrea Joy Cook,D119614,Eric Miller,
19615,,Bindu (actress),Match19480,Rajinder Singh Bedi,
19616,L'homme du train,Johnny Hallyday,Match11441,Claude Klotz,
19617,Vision Quest,Michael Schoeffling,Match8697,Terry Davis,
19618,Legend of the Dragon,Yuen Wah,Match5313,,
19619,,Charlotte Burton,Match1683,Flora R. Snyder,
19620,,Lucie Zednícková,Match13075,Chris Hyde,
19621,,James Scott Bumgarner,Match1300,Carl Reiner,
19622,Labor of Love,David Marshall Grant,Match4747,Nina Shengold,
19623,Alice,William Hurt,Match4348,Woody Allen,
19624,Jet Pilot,Jeanette Helen Morrison,Match5249,Jules Furthman,
19625,Death to the Supermodels,Taylor Negron,Match12937,Joel Silverman,
19626,,Robin Ramsay,Match16,Chris Lu00F6fvu00E9n,
19627,The Cider House Rules,Charlize Theron,Match20294,John Irving,
19628,Annavaram,Konidala Kalyan,D119628,Perarasu,
19629,Rasen,Koichi Sato,Match12934,Kôji Suzuki,
19630,Open Range,Annette Carol Bening,Match20749,Lauran Paine,
19631,,Kamal Haasan,D119631,,
19632,Mouchette,Paul Hébert,Match9303,Robert Bresson,
19633,Being Cyrus,Saif Ali Khan,Match18329,"Homi Adajania (screenplay)
Kersi Khambatta (story)",
19634,,Rajnikanth,D119634,,
19635,Nothing Sacred,Ernest Frederick McIntyre Bickel,Match19873,Ben Hecht,
19636,,Charlene Elizabeth Brinkman,Match20721,Ken Dixon,
19637,Something for Joey,Marc Singer,Match2388,Jerry McNeely,
19638,Castaway,Amanda Donohoe,Match42,Lucy Irvine,
19639,,Rajnikanth,D119639,,
19640,Ploy,Ananda Everingham,D119640,Pen-Ek Ratanaruang,
19641,In Trust,Bessie Banks,Match20579,,
19642,,Sripriya,D119642,,
19643,Hail the Judge,Ng Man Tat,D119643,Wong Jing,
19644,,Katherine Marie Heigl,Match4052,Jessica Barondes,
19645,Whispering Smith,Brenda Marshall,Match17274,Karl Kamb,
19646,Hard Hunted,R.J. Moore,Match19304,Andy Sidaris,
19647,The Life of David Gale,Kevin Spacey Fowler,Match14057,Charles Randolph,
19648,,"Gail Shikles, Jr.",Match9183,William Peter Blatty,
19649,Overland Red,Henry DeWitt Carey II,Match13564,Lynn Reynolds,
19650,,"Suneel, Aarti Agarwal",D119650,,
19651,The Mysterious Outlaw,Henry DeWitt Carey II,Match20308,Karl R. Coolidge,
19652,,Sri Priya,D119652,,
19653,,Luz Ángela Bermúdez,Match1133,Guillermo u00C1lvarez,
19654,L'u00E2ge d'or,Lya Lys,Match4090,Salvador Domingo Felipe Jacinto Dalu00ED i Domu00E8nech,
19655,Revolver,Raymond Liotta,Match4168,Guy Ritchie,
19656,His Buddy,Hoot Gibson,Match3009,Anthony Coldeway,
19657,,Nat Carr,Match14972,Andrew Bennison,
19658,,Lynn Redgrave,Match15768,Gisela Bernice,
19659,,"Tyrone Edmund Power, Jr.",Match12871,Ira Wolfert,
19660,,Paul Xavier Gleason,Match21119,"Steve Zacharias
Jeff Buhai
David Obst",
19661,Golden Lion,Marcello Vincenzo Domenico Mastroianni,Match5273,Mario Missiroli,
19662,Sharky's Machine,Robert Keith Richey Jr.,Match12792,William Diehl,
19663,u00CDslenski draumurinn,Þórhallur Sverrisson,Match15754,Robert Ingi Douglas,
19664,Oh Doctor!,Roscoe Arbuckle,Match13851,"Jean C. Havez
Joseph Anthony Roach",
19665,Devour,Shannyn Sossamon,D119665,Seth Gross,
19666,Friday the 13th: The Final Chapter,Crispin Hellion Glover,Match18465,Barney Cohen,
19667,Into the Night,Michelle Marie Pfeiffer,Match3822,Ron Koslow,
19668,,William James Murray,Match2795,Timothy Francis Robbins,
19669,Pennies From Heaven (1981 film),Stephen Glenn Martin,Match4530,Dennis Potter,
19670,At the Old Stage Door,Harold Lloyd,Match18540,,
19671,Welt am Draht,,Match17596,Rainer Werner Fassbinder,
19672,,Dominique Marie-Franu00E7oise Renu00E9e Varaigne,Match15551,Vittorio Bonicelli,
19673,,Iva Bittová,Match21369,Nicolas Humbert,
19674,Karam,John Abraham (actor),Match15889,Suparn Verma,
19675,Meu00F0 allt u00E1 hreinu,Valgeir Guðjónsson,D119675,,
19676,,Manfredo Colassanti,Match17265,Humberto Mauro,
19677,,Werner Klemperer,Match11955,John Aylesworth,
19678,Snuff-Movie,Hugo Myatt,Match16905,Bernard Rose,
19679,,Ashok Kumar,Match18731,Nabendu Ghosh,
19680,Monsignor,John Anthony Miller,Match19743,Wendell Mayes,
19681,,Bharath (actor),D119681,Jayaraj,
19682,Charlotte Sometimes,Jacqueline Joan Kim,Match3251,Eric Byler,
19683,Full Count,Augustin Kennady,Match12950,Andre Martinez,
19684,Whatever Happened to Harold Smith?,Lulu (singer),Match3649,Ben Steiner,
19685,Little Women,Elizabeth Rosemond Taylor,Match3190,Louisa May Alcott,
19686,,Vivek,D119686,,
19687,Dirty Mary Crazy Larry,Vic Morrow,Match3652,Richard Unekis,
19688,Let's Scare Jessica to Death,Gretchen Corbett,Match20385,John D. Hancock,
19689,Rebecca of Sunnybrook Farm,Ralph Rexford Bellamy,Match12768,Kate Douglas Wiggin,
19690,Sex Is Zero,Yoo Chae-yeong,Match13632,Yoon Je-kyoon,
19691,,Tomas Arana,Match3366,,
19692,,Louise Closser Hale,Match13925,Julien Josephson,
19693,Gol Maal,Amol Palekar,Match14374,Sachin Bhowmick,
19694,City of Joy,Art Malik,Match3462,Mark Medoff,
19695,,Venus Seye,Match14524,Ousmane Sembène,
19696,Fletch Lives,Cornelius Crane Chase,Match13092,Leon Capetanos,
19697,Boys Don't Cry,John Peter Sarsgaard,Match22752,Kimberly Peirce,
19698,Savage Beach,Dona Speir,Match4066,Andy Sidaris,
19699,,Juliette Binoche,D119699,Amos Weinraub,
19700,Celtic Pride,Kyle Wayans,Match13570,Colin Quinn,
19701,,Clark Brandon,Match13145,Joe Roberts,
19702,,Marisa Tomei,Match15692,Charles Shyer,
19703,1900,Werner Bruhns,Match13124,Franco Arcalli,
19704,,Christopher Lambert,Match17188,Jacques Dorfmann,
19705,Umberto D.,Maria-Pia Casilio,Match18827,Cesare Zavattini,
19706,Dirty Pretty Things,Israel Aduramo,Match3354,Steven Knight,
19707,,Shiori Sekine,Match15609,Nobuhiro Yamashita,
19708,The Dangerous Lives of Altar Boys,Jena Malone,Match22410,Jeff Stockwell,
19709,Above and Beyond,Robert Taylor,Match15604,Melvin Frank,
19710,Twelve Crowded Hours,Ernst Carlton Brimmer,Match11970,Peter Ruric,
19711,Tegeran-43,Armen Dzhigarkhanyan,Match12139,"Alexander Alov,<BR>Vladimir Naumov",
19712,Victor (film),Isabelle Journeau,Match17964,,
19713,,Vijay (actor),D119713,,
19714,A Maid to Order,Oliver Hardy,Match3724,,
19715,,Stephen McNally,D119715,,
19716,Golden Lion,Henrik Martin Marinus Malberg,Match16271,Kaj Munk,
19717,Shark Tale,"Robert Mario De Niro, Jr.",Match22622,Michael J. Wilson,
19718,,Seo Ji-hye,Match14052,Choi Ik-hwan,
19719,Capture of Boer Battery by British,,Match13513,,
19720,,Helen Marie Jurgens,Match21977,Jack Lait,
19721,Red's Dream,,D119721,John Lasseter,
19722,Indra,Konidela Siva Sankara Vara Prasad,Match14028,Paruchuri Brothers,
19723,,Patricia Claire Blume,Match13810,Akira Kurosawa,
19724,Lakshya,Boman   Irani,Match19245,Javed Akhtar,
19725,,Mika Nakashima,Match3941,Ai Yazawa,
19726,,Nova Villa,Match15222,,
19727,A Lot Like Love,Christopher Ashton Kutcher,Match3629,Colin Patrick Lynch,
19728,,Galina Kravchenko,D119728,Abdraxman ?akirov,
19729,Tum Bin,"Sandali Sinha, </br>Priyanshu Chatterjee, </br> Himanshu Malik, </br> Rakesh Bapat",D119729,Anubhav Sinha,
19730,,John Uhler Lemmon III,Match15118,Arthur Carter,
19731,,Heidi Fleiss,Match19277,Brennon Jones,
19732,Springtime in a Small Town,Ye Xiaokeng,Match16150,Ah Cheng,Xu Jianping
19733,,"Jefferson Brown
Darryn Lucio
Melanie Marden
Christopher Elliott",D119733,"Karl DiPelino
Chris Ragonetti",
19734,,Amol Palekar,Match22061,Basu Chatterjee,
19735,Firehouse Dog,Stuart Bruce Greenwood,D119735,Michael Colleary,
19736,,Ramaz Chkhikvadze,Match21713,Mikhail Lermontov,
19737,,Wes Bentley,D119737,Geoffrey Haley,
19738,Undead,Mungo McKay,Match14825,"Michael Spierig 
Peter Spierig",
19739,,Anula Karunathilake,Match20788,Karunasena Jayalath,
19740,Men at Work,Carlos Irwin Estu00E9vez,Match13694,Emilio Estevez Sheen,
19741,Ballad of a Soldier,Vladimir Ivashov,Match12280,Valentin Yezhov,
19742,Sehar,Sushant Singh,Match12212,,
19743,Bowfinger,Heather Graham,Match22800,Stephen Glenn Martin,
19744,House of Cards,Susannah Harker,Match18190,Andrew Davies (writer),
19745,,Aitana Sánchez-Gijón,Match12196,Juan José Campanella,
19746,,Philip Seymour Hoffman,Match4898,Paul Thomas Anderson,
19747,,Tadanobu Asano,Match15310,Shunji Iwai,
19748,,"Aga Muhlach
 Aiko Melendez",Match3852,,
19749,Walk... Don't Walk,Cornelius Crane Chase,Match15623,Rich Allen,
19750,,Mal Evans,Match19847,Paul McCartney,
19751,Rubber Johnny,Chris Cunningham,Match14822,Chris Cunningham,
19752,Possessed,Michael McLachlan,Match16106,Steven E. de Souza,
19753,,Sean Gregory Sullivan,D119753,Hank Steinberg,
19754,,Christopher de Leon,Match15095,Lualhati Bautista,
19755,,Anushka Shetty,D119755,Gopimohan,
19756,The Way Out,Henry DeWitt Carey II,Match171,,
19757,,Lloyd Nolan,Match15681,Margaret Fitts,
19758,,A. Michael Baldwin,D119758,Don Coscarelli Jr.,
19759,Safe Passage,Sam Shepard,D119759,,
19760,Whale Rider,Keisha Castle-Hughes,Match1469,Witi Ihimaera,
19761,,Robert Jayne,Match2636,Bill Persky,
19762,Sukeban Deka OAV,K?ji Naka,Match4003,,
19763,Frontiu00E8re(s),Aurélien Wiik,D119763,Xavier Gens,
19764,Cane Toads: An Unnatural History,Jean Boht,Match1145,Mark Lewis,
19765,,Jacek Chmielnik,Match3962,Juliusz Machulski,
19766,Confessions of a Dangerous Mind,Julie Fiona Roberts,D119766,Charles Stuart Kaufman,
19767,Steptoe and Son Ride Again,Wilfrid Brambell,Match12131,Ray Galton,
19768,,Robin Simone Givens,Match16660,Chester Himes,
19769,,Amjad Khan,Match17599,Tinnu Anand,
19770,Infernal Affairs,u5289u798Fu69AE),Match21308,Felix Chong,
19771,,Albert Juross,D119771,Luc Moullet,
19772,Claudine,Carol Diahann Johnson,Match1835,"Lester Pine
Tina Pine",
19773,Children of the Corn IV,Mark Salling,D119773,Stephen Berger,
19774,,Eldred Gregory Peck,Match18219,Casey Robinson,
19775,"Ankor, eshchyo ankor!",Elena Yakovleva,Match1030,,
19776,Demon Island,Eugene Byrd,Match4609,Scott Hillenbrand,
19777,Save the Last Dance,Kerry Washington,Match1850,Cheryl Edwards,
19778,,Lee In-seong,Match4949,Oh Sang-hoon,
19779,,"Jonathan Forbes
Jason Barry
Hugh Quarshie
Hugh Bonneville
Sean McGinley",Match2233,John Deery,
19780,Parents,Bryan Madorsky,Match9635,Christopher Hawthorne,
19781,Hitchin' Posts,Frank Mayo (actor),Match5108,George C. Hull,
19782,Dirty Tricks,Mary Louise Streep,D119782,"John Jeter(play)
 Ryan Murphy (adaptation)",
19783,,Amitabh Bachchan,Match5560,,
19784,Vampire Assassin,Ron Hall,Match14910,Ron Hall,
19785,Mean Creek,Joshua Michael Peck,D119785,Jacob Aaron Estes,
19786,All Fall Down,Angela Brigid Lansbury,Match774,James Leo Herlihy,
19787,A Day's Adventure,Henry DeWitt Carey II,Match17007,,
19788,,Kelly Sheridan,Match12079,,
19789,,Jim Dale,Match21370,Talbot Rothwell,
19790,Madea's Family Reunion,See to left...,Match5528,Tyler Perry,
19791,,Barry Sullivan/Joan Caulfield/Lon Chaney Jr./Aki Aleong/Barton MacLane,Match3334,Jimmie Haskell,
19792,,Otto Kruger,Match21333,Edgar Selwyn,
19793,The Gamers: Dorkness Rising,Carol Roscoe,Match20703,Matthew R. Vancil,
19794,,Ferlin Husky,Match17343,Duke Yelton,
19795,28 Days,Dominic West,Match20335,Susannah Grant,
19796,,Charles Rupert,Match5256,Leo Lieberman,
19797,,Keiko Kitagawa,Match5428,Chris Morgan (writer),
19798,,Al Thompson,Match8983,Elwood Ullman,
19799,,Idina Kim Mentzel,D119799,Dori Berinstein,
19800,Cheerleader Camp,Rebecca Ferratti,Match20486,"David Lee Fein
R.L. O'Keefe",
19801,,Cheung Tat-Ming,Match5335,,
19802,,Janet Suzman,Match10998,Clive Egleton,
19803,Il Vedovo,Alberto Sordi,Match20254,Rodolfo Sonego,
19804,Panic Room,Jared Leto,Match11877,David Koepp,
19805,Beetlejuice,William Glenn Shadix,Match11826,Warren Skaaren,
19806,Pride and Glory,Colin James Farrell,D119806,Joe Carnahan,
19807,,Kamal Haasan,D119807,,
19808,,Ariana Clarice Richards,Match1900,Michael O'Hara,
19809,The Incredibly Strange Creatures Who Stopped Living and Became Mixed Up Zombies,"Ray Dennis Steckler
Carolyn Brandt
Brett O'Hara
Atlas King
Sharon Walsh
Madison Clarke",Match8539,"E.M. Kevke (novel)
Gene Pollock
Robert Silliphant",
19810,The Boat,Joseph Frank Keaton VI,Match3123,Edward F. Cline,
19811,The Telltale Light,Roscoe Arbuckle,Match715,,
19812,Ghost World,Steven Vincent Buscemi,Match15863,Daniel Clowes,
19813,Lonesome Luke Lolls in Luxury,Harold Lloyd,Match1745,,
19814,I Love a Man in Uniform,Albert Schultz,Match1265,David Wellington,
19815,,Elise Lucet,D119815,Pièces à conviction,
19816,Following,Jeremy Theobald,Match546,Christopher Nolan,
19817,Academy Award for Best Foreign Language Film,John Richard Basehart,Match12426,Federico Fellini,
19818,The McKenzie Break,Ian Hendry,Match20938,William W. Norton,
19819,,Roy Kinnear,Match11864,,
19820,Kingdom of the Spiders,William Shatner,Match13396,Stephen Lodge (author),
19821,,,D119821,Aleksandr Mi?on,
19822,Serial (film),William Haade,Match21594,Ronald Davidson,
19823,Used Cars,John H. Lebzelter,Match4813,Robert Lee Zemeckis,
19824,,Björn Gustafson,Match4838,Hans Gu00F6sta Gustaf Ekman,
19825,Academy Award for Best Foreign Language Film,Bruno Ortenzi,Match5406,Cesare Zavattini,
19826,,Anjasmara,D119826,,
19827,,Oliver Burgess Meredith,Match13847,Garrett Fort,
19828,Sissi,Magda Schneider,Match2758,Ernst Marischka,
19829,,Greta Lovisa Gustafsson,Match11945,Dorothy Farnum,
19830,Tales from Gimli Hospital,Caroline Bonner,Match20404,,
19831,,Clyde Kusatsu,Match626,Stephen Ditko,
19832,Stealth,Jessica Claire Biel,Match16302,W. D. Richter,
19833,,Pierre-Alexandre Richard,Match3842,Jacques Feyder,
19834,Sainikudu,Irfan Khan,Match12789,Gunasekhar,
19835,Daikaiju00FB kuchu kessan: Gamera tai Gyaosu,Reiko Kasahara,D119835,Nisan Takahashi,
19836,,Jackie Torres,Match13372,Jackie Torres,
19837,,Diego Abatantuono,Match6357,Gloria Corica,
19838,Golden Lion,Geraldine McKeown,Match1759,Peter Mullan,
19839,Eyes Beyond Seeing,Keith Hamilton Cobb,Match12074,Scott Gerard Jordan,
19840,,"Bala Krishna Nandamuri, Tanushree Dutta, Sada, Sayaji Shinde, Prakash Raj, Rajan P Dev, Rama Prabha, Brahmanandam, Venu Madhav, Kondavalasa, Ganesh, Ajay, Kovai Sarala, Rallapally, Riaz Khan",D119840,Marudhuri Raja,
19841,,Ko Nishimura,Match9385,Kazuo Uemura,
19842,,Robert Selden Duvall,Match16678,The Scarlet Letter,
19843,The Puppet Masters,Donald McNichol Sutherland,Match3002,Ted Elliott,
19844,,,Match16726,Alexis Kouros,
19845,Gioventu00F9 perduta,Massimo Girotti,Match11884,Mario Monicelli,
19846,Phantasm III: Lord of the Dead,Cindy Ambuehl,Match16739,Don Coscarelli Jr.,
19847,,George Bancroft,Match6457,Jack Yellen,
19848,,Cécile De France,Match10592,Xavier Giannoli,
19849,,Mahjabeen Bano,Match6264,,
19850,,Alexander Pollock,Match9562,Glenn Ficarra,
19851,,Sanjay Dutt,D119851,Sanjay Gupta (Bollywood Director),
19852,Nothing is Impossible,u5B89u5FD7u6770 / Andy On,Match16589,,
19853,Me Without You,Michelle Ingrid Williams,Match3532,"Sandra Goldbacher 

Laurence Coriat",
19854,Half Moon,Hedye Tehrani,D119854,Bahman Ghobadi,
19855,The Specials,Sean Gunn,Match1103,James Gunn (film maker),
19856,Strapless,Bruno Ganz,D119856,David Hare,
19857,21 Grams,Naomi Ellen Watts,Match10083,Guillermo Arriaga,
19858,,Dirch Passer,Match3311,Aage Stentoft,
19859,The Dickies - Killer Klowns excerpt,John Allen Nelson,Match2359,"Charles Chiodo<BR />Edward Chiodo
Stephen Chiodo",
19860,Mickey,Mabel Normand,Match15654,J.G. Hawks,
19861,,Larry Fine (actor),Match1501,Edward Bernds,
19862,Sinbad the Sailor,Maureen FitzSimons,Match11759,George Worthing Yates,
19863,,Charles Laughton,D119863,Philip Wylie,
19864,Where Eskimos Live,,Match14970,,
19865,,Poncho Hodges,Match16038,Gregg Bishop,
19866,,Harvey Keitel,Match12470,James Mangold,
19867,The Addams Family,Anjelica Huston,Match5631,Caroline Thompson,
19868,High Heels and Low Lifes,Amelia Fiona J. Driver,Match15232,Darren Boyd,
19869,,Poornima Jayaram,Match7583,Fazil,
19870,,William Paxton,Match6058,Anita Shreve,
19871,Alien from L.A.,Thomas Bryan Mathews,Match16284,Albert Pyun,
19872,Diane,Henry Daniell,Match6107,John Erskine,
19873,u014Coku,,Match15884,Taeko Asano,
19874,,Ethel Agnes Zimmermann,Match5389,Russel Crouse,
19875,Nan of Music Mountain,Wallace Reid,Match8744,Frank H. Spearman,
19876,,Jerome Lester Horwitz,Match2738,Edward Bernds,
19877,They Call Me MISTER Tibbs!,Martin Landau,Match228,James R. Webb,
19878,,Julie Fiona Roberts,Match11530,Callie Khouri,
19879,Les hommes pru00E9fu00E8rent les grosses,,Match11508,Josiane Balaskovic,
19880,,Yuki,Match6657,,
19881,Accattone,Franco Citti,Match3446,Pier Paolo Pasolini,
19882,,Neville Brand,Match11208,Harry Essex,
19883,Battle Beyond the Stars,Carmine Orrico,Match4761,John Sayles,
19884,Jack,Bill Cosby,Match15457,"James DeMonaco
Gary Nadeau",
19885,,Angel Aviles,Match8949,,
19886,Billy the Kid,Wallace Fitzgerald Beery,Match6554,Walter Noble Burns,
19887,,Raymond Roberts,Match922,Fred Olen Ray,
19888,Dead Heat on a Merry-Go-Round,Aldo DaRe,Match4339,Bernard Girard,
19889,List of Bugs Bunny cartoons,Mel Blanc,Match14558,Michael Maltese,
19890,Mad Cowgirl,Walter Koenig,Match17008,Gregory Hatanaka,
19891,Finding Forrester,Anna Helene Paquin,Match9316,Mike Rich,
19892,,Harry Eden,Match6078,Alison Hume,
19893,Things to Do in Denver When You're Dead,Christopher Allen Lloyd,Match11889,Scott Rosenberg,
19894,The Good Thief,Nicholas King Nolte,Match4517,"Neil Jordan
based on screenplay by Auguste Le Breton & Jean-Pierre Melville",
19895,,Sridevi,D119895,,
19896,Pazhassi Raja,Manoj K. Jayan,D119896,M. T. Vasudevan Nair,
19897,The Green Slime,Luciana Paluzzi,Match4744,William Finger,
19898,Made,Sean Combs,Match14279,Jonathan K. Favreau,
19899,Hatter's Castle,James Neville Mason,Match14301,A. J. Cronin,
19900,,Balbir Raj Kapoor,Match15826,Ruth Prawer Jhabvala,
19901,,Esteban Ernesto Echevarria,Match14212,"Ricardo Mu00E9ndez Matta
Poli Marichal",
19902,Take a Chance,Harold Lloyd,Match14634,,
19903,West,Gillian Alexy,Match15042,Daniel Krige,
19904,"Up, Up and Away",Sherman Hemsley,Match8820,Daniel Berendsen,
19905,,Wanda Perdelwitz,Match8731,Jan Henrik Stahlberg,
19906,,,Match14845,David John Noel Bourke,
19907,Nothing to Lose,Timothy Francis Robbins,Match15588,Steve Oedekerk,
19908,,"Clay Borris
Mack Dolgy",Match14746,Paul Eichgrun,
19909,,,Match2364,Jan Švankmajer,
19910,Xchange,Kim Coates,Match6222,Christopher Pelham,
19911,,Norma Lazareno,Match10771,Carlos Enrique Taboada,
19912,Raja,Madhuri Shankar Dixit,Match3534,,
19913,,Navdeep,D119913,,
19914,,Clarence Geldart,D119914,Charles Chaplin,
19915,,Deep Purple,Match5383,,
19916,Violanchelo,Tony Dalton,D119916,"Marino Alex 
Alex Marino",
19917,Anupama,Deven Verma,Match10918,Hrishikesh Mukherjee,
19918,,Konstantin Khabensky,Match7178,Laeta Kalogridis,
19919,The Sisterhood of the Traveling Pants,Kimberly Alexis Bledel,Match16148,Ann Brashares,
19920,Serial (film),,Match6161,,
19921,Land of the Dead,Simon Baker,Match8003,George A. Romero,
19922,The Wacky World of Mother Goose,,Match1926,Romeo Muller,
19923,,The Radiators (US),D119923,The Radiators (US),
19924,,Geetha,D119924,Bharathan,
19925,,Rajnikanth,D119925,,
19926,Man to Man,Henry DeWitt Carey II,Match2075,George C. Hull,
19927,,Kenneth Charles Williams,Match575,Norman Hudis,
19928,Nights of Cabiria,Giulietta Masina,Match5802,Ennio Flaiano,
19929,,Kamal Haasan,D119929,,
19930,,Dee Wallace-Stone,Match6140,Wes Craven,
19931,His Royal Slyness,Harold Lloyd,Match951,H.M. Walker,
19932,The Broadway Melody,Anita Pomares,Match2698,Edmund Goulding,
19933,The Great Silence,Spartico Conversi,Match7327,Mario Amendola,
19934,,Miriam Cooper,Match14318,,
19935,Queen on Fire: Live at the Bowl,Freddie Mercury,Match8187,,
19936,,El?bieta Czy?ewska,D119936,Krzysztof Gruszczy?ski,
19937,Diary of a Madman,Nancy Kovack,Match786,Robert Kent,
19938,Mr. 3 Minutes,Ronald Cheng Chung-Kei,D119938,,
19939,,Kevin George Knipfing,Match8345,William Tepper,
19940,,Mohanlal Viswanathan Nair,Match11016,Madhu Muttam,
19941,,Suja,D119941,Thambi Ramiah,
19942,El Cid,Gary Raymond,Match1869,Philip Yordan,
19943,Talvisota,Esko Kovero,D119943,Antti Tuuri,
19944,Karla,Misha Collins,Match9993,Michael D. Sellers,
19945,,Ulf Brunnberg,Match974,Sven Melander,
19946,A Pure Formality,Maria Rosa Spagnolo,Match186,Pascal Quignard,
19947,,Michael C. Gwynne,D119947,Christopher Knopf,
19948,Attack from Space,Ken Utsui,Match8830,Ichiro Miyagawa,
19949,Trial,Gwyllyn Samuel Newton Ford,Match14688,Don Mankiewicz,
19950,Crocodile Dundee,Paul Hogan,Match4137,Ken Shadie,
19951,Safety Last!,Mildred Davis,Match13051,Sam Taylor (director),
19952,,Sharifah Amani binti Syed Zainal Rashid Al-Yahya,D119952,,
19953,,Roberto Escalada,Match330,Rodolfo M. Taboada,
19954,,"Issa Coulibaly 
 Alejandro Da Silva",Match13134,Pablo César,
19955,"Come Back to the Five and Dime, Jimmy Dean, Jimmy Dean",Kathleen Doyle Bates,Match5934,Ed Graczyk,
19956,A Child From the South,Peter William Postlethwaite,Match12590,Leyga Zendare,
19957,Richard the Lion-Hearted,Wallace Fitzgerald Beery,Match13202,Walter Scott,
19958,,K?ichi Yamadera,Match6345,Yoshiaki Kawajiri,
19959,Honeymoon Trio,Walter Catlett,Match14193,Ernest Pagano,
19960,Cleaning Time,Oliver Hardy,Match14723,Will Louis,
19961,,Bradford Claude Dourif,Match7261,Don Mancini,
19962,,Joan Marie Severance,Match13816,Craig J. Nevius,
19963,,Barry Sullivan (actor),Match1355,"Mel Dinelli
Maurice Zimm (story)",
19964,Elena and Her Men,Jean-Alfred Villain-Marais,Match11905,"Jean Serge
Jean Renoir",
19965,,Louise Fazenda,Match10753,Otto A. Harbach,
19966,,Ravi Krishna,D119966,,
19967,What's Love Got to Do with It,Laurence John Fishburne III,Match10579,Tina Turner,
19968,,Leigh Lawson,Match16992,Sid Colin,
19969,"Hari sa hari, lahi sa lahi",Vic Vargas,Match10476,Eddie Romero,
19970,,Johnson Lo,D119970,Noah Abdul-Adil Seifullah II,
19971,Cone of Silence,Peter Wilton Cushing,Match8607,Robert Westerby,
19972,Anthony Adverse,William Claude Rains,Match10737,Milton Krims,
19973,,Kamal Haasan,D119973,,
19974,,Kevin Norwood Bacon,Match5757,Mark Kasdan,
19975,The Jack of Hearts,Hoot Gibson,Match5787,Anthony Coldeway,
19976,Cupid's Rival,Billy West (silent film actor),Match12717,,
19977,Noriko's Dinner Table,Ken Mitsuishi,Match17021,Sion Sono,
19978,,Nancy Allison Wolfe,Match16735,Lauran Hoffman,
19979,Spider Lilies,"Luisa Leong
Leong Lok-Iu (u6881u6A02u7464)",D119979,Zero Chou,
19980,The Trail of the Holdup Man,Hoot Gibson,Match8687,Jack Jevne,
19981,,Osamu Nishimura,D119981,Masazaku Migita,
19982,,Edward Fox,Match16170,Simon Gray,
19983,Bullet Ballet,Kirina Mano,Match13421,Shinya Tsukamoto,
19984,The Pagemaster,Philip Edward Hartmann,Match4795,David Kirschner,
19985,Without Love,Katharine Hepburn,D119985,Donald Ogden Stewart,
19986,,Stephen Scott,Match5851,,
19987,,Anant Nagarakatte,Match14936,Arudra,
19988,,Bruce Cowling,Match2122,"Story:
Larry Marcus
Screenplay:
Mel Dinelli
Tom Lewis",
19989,Sockbaby,Cody Spurlock,Match13942,Douglas TenNapel,
