authors,venue,title,year,entityUrl
Michael Ley,SIGMOD Record,SIGMOD Anthology Editor's Message,2000,journals/sigmod/Ley00
Weidong Chen,ACM Trans. Database Syst.,Query Evaluation in Deductive Databases with Alternating Fixpoint Semantics,1995,journals/tods/Chen95a
"Sibel Adali, Yannis Papakonstantinou, K. Sel�uk Candan, V. S. Subrahmanian",SIGMOD Conference,Query Caching and Optimization in Distributed Mediator Systems,1996,conf/sigmod/AdaliCPS96
"David J. DeWitt, Manish Mehta",VLDB,Managing Intra-operator Parallelism in Parallel Database Systems,1995,conf/vldb/MehtaD95
"Hanan Samet, Ken Smith, Glenn S. Iwerks",VLDB,Continuous K-Nearest Neighbor Queries for Continuously Moving Points with Updates,2003,conf/vldb/IwerksSS03
"Michael J. Wynblatt, Julio C. Navas",SIGMOD Conference,The Network is the Database: Data Management for Highly Distributed Systems,2001,conf/sigmod/WynblattN01
"Robert Meersman, Amit P. Sheth",SIGMOD Record,Amicalola Report: Database and Information System Research Challenges and Opportunities in Semantic Web and Enterprises,2002,journals/sigmod/ShethM02
"Nathan Goodman, Steve Rozen, Lincoln Stein",VLDB,Building a Laboratory Information System Around a C++-Based Object-Oriented DBMS,1994,conf/vldb/GoodmanRS94
"Bj�rn Blohsfeld, Jens-Peter Dittrich, Martin Schneider, Bernhard Seeger, Tobias Sch�fer, Jochen Van den Bercken, J�rgen Kr�mer",VLDB,XXL - A Library Approach to Supporting Efficient Implementations of Advanced Database Queries,2001,conf/vldb/SeegerBBKSDS01
"Tore Risch, Ling Lin",VLDB,Querying Continuous Time Sequences,1998,conf/vldb/LinR98
"Philip J. Harding, Bongki Moon, Quanzhong Li",VLDB,XISS/R: XML Indexing and Storage System using RDBMS,2003,conf/vldb/HardingLM03
"Nelson Mendon�a Mattos, Serge Rielau, Bruce G. Lindsay, Stefan De�loch, You-Chin Fuh, Brian T. Tran, Danko Mannhaupt, Linda DeMichel, Weidong Chen",VLDB,Implementation of SQL3 Structured Types with Inheritance and Value Substitutability,1999,conf/vldb/FuhDCMTLDRM99
Torsten Grust,SIGMOD Conference,Accelerating XPath location steps,2002,conf/sigmod/Grust02
"Christoph Kilger, Guido Moerkotte",VLDB,Indexing Multiple Sets,1994,conf/vldb/KilgerM94
"Patrick E. O'Neil, Dallan Quass",SIGMOD Conference,Improved Query Performance with Variant Indexes,1997,conf/sigmod/ONeilQ97
George Colliat,SIGMOD Record,"OLAP, Relational, and Multidimensional Database Systems",1996,journals/sigmod/Colliat96
"Andrea Zisman, V. W. Setzer",VLDB,New Concurrency Control Algorithms for Accessing and Compacting B-Trees,1994,conf/vldb/SetzerZ94
"Nick Roussopoulos, Alexandros Labrinidis",VLDB,Update Propagation Strategies for Improving the Quality of Data on the Web,2001,conf/vldb/LabrinidisR01
Alberto O. Mendelzon,SIGMOD Record,Information Director's Message,2000,journals/sigmod/Mendelzon00
"Raghu Ramakrishnan, Shaul Dar",SIGMOD Conference,A Performance Study of Transitive Closure Algorithms,1994,conf/sigmod/DarR94
Avigdor Gal,SIGMOD Conference,"Data Management in eCommerce: The Good, the Bad, and the Ugly",2000,conf/sigmod/Gal00
"Michael Jaedicke, Bernhard Mitschang",SIGMOD Conference,On Parallel Processing of Aggregate and Scalar Functions in Object-Relational DBMS,1998,conf/sigmod/JaedickeM98
"N. Winterbottom, S. J. O'Connell",SIGMOD Record,Performing Jobs without Decompression in a Compressed Database System,2003,journals/sigmod/OConnellW03
Doug Stacey,SIGMOD Record,"Replication: DB2, Oracle, or Sybase?",1995,journals/sigmod/Stacey95
"Jochen Van den Bercken, Bernhard Seeger",VLDB,Query Processing Techniques for Multiversion Access Methods,1996,conf/vldb/BerckenS96
"Henry F. Korth, Stephen Blott, Abraham Silberschatz",VLDB,"Information, Communication, and Money: For What Can We Charge and How Can We Meter It?",1998,conf/vldb/BlottKS98
"M. Tamer �zsu, Randal J. Peters",ACM Trans. Database Syst.,An Axiomatic Model of Dynamic Schema Evolution in Objectbase Systems,1997,journals/tods/PetersO97
"Laurent Dayn�s, Grzegorz Czajkowski",VLDB,Lightweight Flexible Isolation for Language-based Extensible Systems,2002,conf/vldb/DaynesC02
"Mathias Weske, Gottfried Vossen",SIGMOD Conference,The WASA2 Object-Oriented Workflow Management System,1999,conf/sigmod/VossenW99
"Felipe Cari�o, William O'Connell",VLDB,Plan-Per-Tuple Optimization Solution - Parallel Execution of Expensive User-Defined Functions,1998,conf/vldb/CarinoO98
"Shu-Yao Chien, Carlo Zaniolo, Vassilis J. Tsotras",VLDB J.,Efficient schemes for managing multiversionXML documents,2002,journals/vldb/ChienTZ02
"Laurent Mignet, Serge Abiteboul, Tova Milo, Adi Eyal, Bernd Amann, Sophie Cluet",VLDB,Active Views for Electronic Commerce,1999,conf/vldb/AbiteboulACEMM99
"Gargi Sur, Mary F. Fernandez, Am�lie Marian, J�r�me Sim�on, Byron Choi",VLDB,Implementing Xquery 1.0: The Galax Experience,2003,conf/vldb/FernandezSCMS03
"Brian Murphy, Elke A. Rundensteiner, Bradford Pielech, Maged El-Sayed, Mukesh Mulchandani, Luping Ding, Katica Dimitrova, Ling Wang, Xin Zhang",SIGMOD Conference,Rainbow: Multi-XQuery Optimization Using Materialized XML Views,2003,conf/sigmod/ZhangDWEMPMDR03
"Eric Simon, Angelika Kotz Dittrich",VLDB,Promises and Realities of Active Database Systems,1995,conf/vldb/SimonD95
Ling Liu,SIGMOD Record,Editor's Notes,2003,journals/sigmod/Liu03b
"Gerti Kappel, Werner Retschitzegger",SIGMOD Record,The TriGS Active Object-Oriented Database System - An Overview,1998,journals/sigmod/KappelR98
"Takeshi Fukuda, Yasuhiko Morimoto, Takeshi Tokuyama, Shinichi Morishita",VLDB,Constructing Efficient Decision Trees by Using Optimized Numeric Association Rules,1996,conf/vldb/FukudaMMT96
"Samuel Kounev, Alejandro P. Buchmann",VLDB,Improving Data Access of J2EE Applications by Exploiting Asynchronous Messaging and Caching Services,2002,conf/vldb/KounevB02
"Nadjiba Sahraoui, Andr� Gamache",SIGMOD Record,Addressing Techniques Used in Database Object Managers O2 and Orion,1995,journals/sigmod/GamacheS95
"Amit P. Sheth, Sanjeev Thacker, Shuchi Patel",VLDB J.,Complex relationships and knowledge discovery support in the InfoQuilt system,2003,journals/vldb/ShethTP03
"Songting Chen, Andreas Koeller, Elke A. Rundensteiner, Xin Zhang, Jun Chen",SIGMOD Conference,DyDa: Data Warehouse Maintenance in Fully Concurrent Environments,2001,conf/sigmod/ChenZCKR01
"Lukasz Golab, M. Tamer �zsu",VLDB,Processing Sliding Window Multi-Joins in Continuous Queries over Data Streams,2003,conf/vldb/GolabO03
Sunita Sarawagi,VLDB J.,User-cognizant multidimensional analysis,2001,journals/vldb/Sarawagi01
"Philippe Bonnet, Allan Beaufour, Mads Bondo Dydensborg, Martin Leopold",SIGMOD Record,Bluetooth-based sensor networks,2003,journals/sigmod/BonnetBDL03
"Garth A. Gibson, Erik Riedel, Christos Faloutsos",VLDB,Active Storage for Large-Scale Data Mining and Multimedia,1998,conf/vldb/RiedelGF98
"Junghoo Cho, Hector Garcia-Molina",VLDB,The Evolution of the Web and Implications for an Incremental Crawler,2000,conf/vldb/ChoG00
"Angela Bonifati, Cosmin Cremarenco, Tova Milo, Gregory Cobena, Ioana Manolescu, Florin Dragan, J�r�me Baumgarten, Nicoleta Preda, Serge Abiteboul",VLDB,Managing Distributed Workspaces with Active XML,2003,conf/vldb/AbiteboulBBCCDMMP03
"Timos K. Sellis, Dimitri Theodoratos",VLDB,Data Warehouse Configuration,1997,conf/vldb/TheodoratosS97
Leonid Libkin,SIGMOD Record,Database Principles Column - Introduction,1999,journals/sigmod/Libkin99a
"Arunprasad P. Marathe, Kenneth Salem",VLDB,A Language for Manipulating Arrays,1997,conf/vldb/MaratheS97
Sriram Padmanabhan,VLDB,Extracting Large Data Sets using DB2 Parallel Edition,1996,conf/vldb/Padmanabhan96
"Hector Garcia-Molina, Himanshu Gupta, Wilburt Labio, Yue Zhuge, Janet L. Wiener, Jennifer Widom",SIGMOD Conference,The WHIPS Prototype for Data Warehouse Creation and Maintenance,1997,conf/sigmod/LabioZWGGW97
"Gerhard Weikum, Alon Y. Levy, Divesh Srivastava, Eric Simon, Patrick E. O'Neil, Victor Vianu, Kenneth A. Ross, Christos Faloutsos",SIGMOD Record,Reminiscences on Influential Papers,2000,journals/sigmod/RossFLOSSVW00
"Stratis Viglas, Josef Burger, Leonidas Galanis, Jeffrey F. Naughton, Alan Halverson, Rajasekar Krishnamurthy, David J. DeWitt, Feng Tian, Ameet Kini, Yuan Wang, Ajith Nagaraja Rao",VLDB,Mixed Mode XML Query Processing,2003,conf/vldb/HalversonBKKRTVWND03
"Chung-Min Chen, Nick Roussopoulos",SIGMOD Conference,Adaptive Selectivity Estimation Using Query Feedback,1994,conf/sigmod/ChenR94
Edward E. Cobb,VLDB J.,The Impact of Technology on Commercial Transaction Processing,1997,journals/vldb/Cobb97
"Peter M. Schwarz, Laura M. Haas, Vanja Josifovski, Eileen Tien Lin",SIGMOD Conference,Garlic: a new flavor of federated query processing for DB2,2002,conf/sigmod/JosifovskiSHL02
"Tiziana Catarci, John Cardiff, Giuseppe Santucci",VLDB J.,Graphical Interaction with Heterogeneous Databases,1997,journals/vldb/CatarciSC97
Themistoklis Palpanas,SIGMOD Record,Knowledge Discovery in Data Warehouses,2000,journals/sigmod/Palpanas00
"Laks V. S. Lakshmanan, Fr�d�ric Gingras",VLDB,nD-SQL: A Multi-Dimensional Language for Interoperability and OLAP,1998,conf/vldb/GingrasL98
"Eike Schallehn, Ingolf Geist, Kai-Uwe Sattler",VLDB,QUIET: Continuous Query-driven Index Tuning,2003,conf/vldb/SattlerGS03
"Seth J. White, David J. DeWitt",SIGMOD Conference,Implementing Crash Recovery in QuickStore: A Performance Study,1995,conf/sigmod/WhiteD95
"David Shutt, Jason Zander, Brian Harry, Paul Sanders, Philip A. Bernstein",VLDB,The Microsoft Repository,1997,conf/vldb/BernsteinHSSZ97
Akmal B. Chaudhri,SIGMOD Record,An Annotated Bibliography of Benchmarks for Object Databases,1995,journals/sigmod/Chaudhri95
"Zografoula Vagena, Shu-Yao Chien, Vassilis J. Tsotras, Carlo Zaniolo, Donghui Zhang",VLDB,Efficient Structural Joins on Indexed XML Documents,2002,conf/vldb/ChienVZTZ02
Werner Kie�ling,VLDB,Foundations of Preferences in Database Systems,2002,conf/vldb/Kiessling02
"Fernando Berzal Galiano, Nicol�s Mar�n",SIGMOD Record,Data Mining: Concepts and Techniques - Book Review,2002,journals/sigmod/BerzalM02
"Abraham Silberschatz, Sumit Ganguly, Yossi Matias, Phillip B. Gibbons",SIGMOD Conference,Bifocal Sampling for Skew-Resistant Join Size Estimation,1996,conf/sigmod/GangulyGMS96
"Bertram Lud�scher, Pratik Mukhopadhyay, Yannis Papakonstantinou",VLDB,A Transducer-Based XML Query Processor,2002,conf/vldb/LudascherMP02
"Anuradha Bhamidipaty, Sunita Sarawagi, Chandra Mouli, Alok Kirpal",VLDB,ALIAS: An Active Learning led Interactive Deduplication System,2002,conf/vldb/SarawagiBKM02
"Dimitris Papadias, Timos K. Sellis, Yannis Theodoridis, Max J. Egenhofer",SIGMOD Conference,Topological Relations in the World of Minimum Bounding Rectangles: A Study with R-trees,1995,conf/sigmod/PapadiasTSE95
"Bernhard Zeller, Alfons Kemper",VLDB,Experience Report: Exploiting Advanced Database Optimization Features for Large-Scale SAP R/3 Installations,2002,conf/vldb/ZellerK02
"Johann Christoph Freytag, Ulrike Jaeger",SIGMOD Record,An Annotated Bibliography on Active Databases,1995,journals/sigmod/JaegerF95
"Pradeep Shenoy, Philip Bohannon, P. P. S. Narayan, Henry F. Korth, Sumit Ganguly",VLDB,Optimizing View Queries in ROLEX to Support Navigable Result Trees,2002,conf/vldb/BohannonGKNS02
"Fei Sha, Tatiana Chan-Sine-Ying, Georges Gardarin, Tuyet-Tram Dang-Ngoc, Jean-Luc Darroux, Luc Bouganim",VLDB,Miro Web: Integrating Multiple Data Sources through Semistructured Data Types,1999,conf/vldb/BouganimCDDGS99
"Georges Gardarin, Fernando Machuca, Philippe Pucheral",SIGMOD Conference,OFL: A Functional Execution Model for Object Query Languages,1995,conf/sigmod/GardarinMP95
"Tiziana Catarci, Isabel F. Cruz",SIGMOD Record,"Information Visualization, Guest Editors' Foreword",1996,journals/sigmod/CatarciC96
"Philip A. Bernstein, Patrick E. O'Neil, Hal Berenson, Elizabeth J. O'Neil, Jim Melton, Jim Gray",SIGMOD Conference,A Critique of ANSI SQL Isolation Levels,1995,conf/sigmod/BerensonBGMOO95
"Oliver Po, Divyakant Agrawal, Radu Sion, Wen-Syan Li, Wang-Pin Hsiung, Dmitri V. Kalashnikov, K. Sel�uk Candan",VLDB,Issues and Evaluations of Caching Solutions for Web Application Acceleration,2002,conf/vldb/LiHKSPAC02
"Alexandros Labrinidis, Nick Roussopoulos",SIGMOD Record,Generating Dynamic Content at Database-Backed Web Servers: cgi-bin vs. mod_perl,2000,journals/sigmod/LabrinidisR00
"Jochen Doppelhammer, Donald Kossmann, Thomas H�ppler, Alfons Kemper",SIGMOD Conference,Database Performance in the Real World - TPC-D and SAP R/3 (Experience Paper),1997,conf/sigmod/DoppelhammerHKK97
Azer Bestavros,SIGMOD Record,Advances in Real-Time Database Systems Research,1996,journals/sigmod/Bestavros96
"David J. DeWitt, Navin Kabra",VLDB J.,OPT++: An Object-Oriented Implementation for Extensible Database Query Optimization,1999,journals/vldb/KabraD99
Sudarshan S. Chawathe,VLDB,Comparing Hierarchical Data in External Memory,1999,conf/vldb/Chawathe99
"Jim Melton, Andrew Eisenberg",SIGMOD Record,Standards in Practice,1998,journals/sigmod/EisenbergM98
"S. Sudarshan, H. V. Jagadish, Rajeev Rastogi, Abraham Silberschatz, Daniel F. Lieuwen",VLDB,Dal�: A High Performance Main Memory Storage Manager,1994,conf/vldb/JagadishLRSS94
"Narain H. Gehani, William D. Roome, H. V. Jagadish",VLDB,OdeFS: A File System Interface to an Object-Oriented Database,1994,conf/vldb/GehaniJR94
Leonid Libkin,SIGMOD Record,"Some Remarks on Variable Independence, Closure, and Orthographic Dimension in Constraint Databases",1999,journals/sigmod/Libkin99
"Sin Yeung Lee, Tok Wang Ling",VLDB,Further Improvements on Integrity Constraint Checking for Stratifiable Deductive Databases,1996,conf/vldb/LeeL96
"Eric Simon, Esther Pacitti, Pascale Minet",VLDB,Fast Algorithms for Maintaining Replica Consistency in Lazy Master Replicated Databases,1999,conf/vldb/PacittMS99
Dieter Gawlick,VLDB,Scalablity and Availability in Oracle7 7.3,1996,conf/vldb/Gawlick96
"Raymond T. Ng, Edwin M. Knorr",VLDB,Algorithms for Mining Distance-Based Outliers in Large Datasets,1998,conf/vldb/KnorrN98
"Chun Zhang, Guy M. Lohman, Jun Rao, Nimrod Megiddo",SIGMOD Conference,Automating physical database design in a parallel database,2002,conf/sigmod/RaoZML02
"Christos Faloutsos, Byoung-Kee Yi",VLDB,Fast Time Sequence Indexing for Arbitrary Lp Norms,2000,conf/vldb/YiF00
"Themis Panayiotopoulos, Efstathios V. Ioannidis, Constantine D. Spyropoulos, Stavros Kokkotos",SIGMOD Record,On the Issue of Valid Time(s) in Temporal Databases,1995,journals/sigmod/KokkotosIPS95
"Jennifer Widom, Elena Baralis",VLDB,An Algebraic Approach to Rule Analysis in Expert Database Systems,1994,conf/vldb/BaralisW94
"Dan Suciu, Rada Chirkova, Alon Y. Halevy",VLDB,A Formal Perspective on the View Selection Problem,2001,conf/vldb/ChirkovaHS01
"Erik Duval, Eddy Forte, Kris Cardinaels, Koen Hendrikx, Florence Haenni, Maria Wentland Forte, Florence Simillion, Ken Warkentyne, E. Vervaet",SIGMOD Record,Semantic and Pedagogic Interoperability Mechanisms in the ARIADNE Educational Repository,1999,journals/sigmod/ForteHWDCVHFS99
"C. Mohan, Joseph M. Hellerstein, Marcel Kornacker",SIGMOD Conference,Concurrency and Recovery in Generalized Search Trees,1997,conf/sigmod/KornackerMH97
"S. Sudarshan, Arvind Hulgeri",VLDB,Parametric Query Optimization for Linear and Piecewise Linear Cost Functions,2002,conf/vldb/HulgeriS02
"Luis Gravano, H. V. Jagadish, Panagiotis G. Ipeirotis, S. Muthukrishnan, Divesh Srivastava, Nick Koudas",VLDB,Approximate String Joins in a Database (Almost) for Free,2001,conf/vldb/GravanoIJKMS01
Arie Segev,SIGMOD Record,Editor's (Farewell) Notes,1995,journals/sigmod/Segev95
"Viswanath Poosala, Yannis E. Ioannidis",VLDB,Histogram-Based Approximation of Set-Valued Query-Answers,1999,conf/vldb/IoannidisP99
"Paolo Merialdo, Giansalvatore Mecca, Paolo Atzeni",VLDB,To Weave the Web,1997,conf/vldb/AtzeniMM97
"Ashok Joshi, N. MacNaughton, Juan Loaiza, M. Keihl, Tirthankar Lahiri, William Bridge",VLDB,The Oracle Universal Server Buffer,1997,conf/vldb/BridgeJKLLM97
"Ioana Stanoi, Amr El Abbadi, Divyakant Agrawal, Mirek Riedewald",VLDB,Discovery of Influence Sets in Frequently Updated Databases,2001,conf/vldb/StanoiRAA01
Ling Liu,SIGMOD Record,Editor's Notes,2001,journals/sigmod/Liu01
"Naci Ishakbeyoglu, Z. Meral �zsoyoglu",VLDB J.,Maintenance of Implication Integrity Constraints Under Updates to Constraints,1998,journals/vldb/IshakbeyogluO98
"Mark R. Tuttle, David B. Lomet",VLDB,Redo Recovery after System Crashes,1995,conf/vldb/LometT95
"Hamid Pirahesh, C. Mohan, Jeffrey F. Naughton, Sailesh Krishnamurthy, Honguk Woo, Qiong Luo, Bruce G. Lindsay",SIGMOD Conference,Middle-tier database caching for e-business,2002,conf/sigmod/LuoKMPWLN02
J. D. Tygar,VLDB,Atomicity versus Anonymity: Distributed Transactions for Electronic Commerce,1998,conf/vldb/Tygar98
"Ouri Wolfson, Yixiu Huang, Sushil Jajodia",ACM Trans. Database Syst.,An Adaptive Data Replication Algorithm,1997,journals/tods/WolfsonJH97
"Iakovos Motakis, Carlo Zaniolo",SIGMOD Conference,Temporal Aggregation in Active Database Rules,1997,conf/sigmod/MotakisZ97
"Jeffrey F. Naughton, Avi Pfeffer, Joseph M. Hellerstein",VLDB,Generalized Search Trees for Database Systems,1995,conf/vldb/HellersteinNP95
Jennifer Widom,SIGMOD Record,Editor's Notes,1995,journals/sigmod/Widom95a
"Ashok Joshi, Ron Weiss, Amit Ganesh, Tirthankar Lahiri",SIGMOD Conference,Fast-Start: Quick Fault Recovery in Oracle,2001,conf/sigmod/LahiriG01
"Matthias Jarke, Stephan Jacobs, Michael Gebhardt",SIGMOD Conference,A Toolkit for Negotiation Support Interfaces to Multi-Dimensional Data,1997,conf/sigmod/GebhardtJJ97
Xiaolei Qian,SIGMOD Record,"Announcements from NSF, NASA, and Elsewhere",1994,journals/sigmod/Qian94a
"Phillip B. Gibbons, Gary Valentin, Todd C. Mowry, Shimin Chen",SIGMOD Conference,Fractal prefetching B�Trees: optimizing both cache and disk performance,2002,conf/sigmod/ChenGMV02
"Ren�e J. Miller, Mauricio A. Hern�ndez, Laura M. Haas",VLDB,Schema Mapping as Query Discovery,2000,conf/vldb/MillerHH00
Hamid Pirahesh,SIGMOD Conference,Object-Oriented Features of DB2 Client/Server,1994,conf/sigmod/Pirahesh94
"Rainer A. Sommer, David Bailey, Thomas R. Gulledge",SIGMOD Record,The n-Tier Hub Technology,2002,journals/sigmod/SommerGB02
William W. Cohen,SIGMOD Conference,Integration of Heterogeneous Databases Without Common Domains Using Queries Based on Textual Similarity,1998,conf/sigmod/Cohen98
"Phillip B. Gibbons, Yossi Matias",SIGMOD Conference,New Sampling-Based Summary Statistics for Improving Approximate Query Answers,1998,conf/sigmod/GibbonsM98
"Donald Kossmann, Michael J. Franklin, Bj�rn ��r J�nsson",SIGMOD Conference,Performance Tradeoffs for Client-Server Query Processing,1996,conf/sigmod/FranklinJK96
"Stratos Idreos, Manolis Koubarakis, Christos Tryfonopoulos, Yannis Drougas",SIGMOD Record,Selective information dissemination in P2P networks: problems and solutions,2003,journals/sigmod/KoubarakisTID03
"Surajit Chaudhuri, Ashraf Aboulnaga",SIGMOD Conference,Self-tuning Histograms: Building Histograms Without Looking at Data,1999,conf/sigmod/AboulnagaC99
"Roy Goldman, Serge Abiteboul, Jennifer Widom, Dallan Quass, Jason McHugh",SIGMOD Record,Lore: A Database Management System for Semistructured Data,1997,journals/sigmod/McHughAGQW97
David W. Adler,VLDB,DB2 Spatial Extender - Spatial data within the RDBMS,2001,conf/vldb/Adler01
"S. Muthukrishnan, Nick Koudas, Piotr Indyk",VLDB,Identifying Representative Trends in Massive Time Series Data Sets Using Sketches,2000,conf/vldb/KoudasIM00
"Dennis Shasha, Yunyue Zhu",SIGMOD Conference,Warping Indexes with Envelope Transforms for Query by Humming,2003,conf/sigmod/ZhuS03
"L. Pedro, V. Kotov, I. Papadopoulos, L. Mapelli, A. Ribeiro, A. Amorim, R. Hart, M. Nassiakou, H. Wolters, N. Parrington, D. Liko, Yu. Ryabov, R. Jones, I. Alexandrov, L. Lucio, I. Soloviev, M. Caprini, E. Badescu, S. Kolos, M. Dobson, L. Moneta, D. Schweiger, M. Barczyk, A. Kazarov, D. Burckhart-Chromek, M. Mineev, J. Flammer",VLDB,OBK - An Online High Energy Physics' Meta-Data Repository,2002,conf/vldb/AlexandrovABBBCDFHJKKKLLMMMPNPPRRSSW02
"N. L. Belkhodja, Mourad Ouzzani, M. A. Atroun",VLDB,A Top-Down Approach for Two Level Serializability,1994,conf/vldb/OuzzaniAB94
"Sacha Berger, Christoph Wieser, Sebastian Schaffert, Fran�ois Bry",VLDB,Xcerpt and visXcerpt: From Pattern-Based to Visual Querying of XML and Semistructured Data,2003,conf/vldb/BergerBSW03
Leonidas Fegaras,SIGMOD Conference,Query Unnesting in Object-Oriented Databases,1998,conf/sigmod/Fegaras98
"Jochen Van den Bercken, Bernhard Seeger",VLDB,An Evaluation of Generic Bulk Loading Techniques,2001,conf/vldb/BerckenS01
Nam Huyn,VLDB,Scientific OLAP for the Biotech Domain,2001,conf/vldb/Huyn01
"Ramakrishnan Srikant, Rakesh Agrawal",SIGMOD Conference,Privacy-Preserving Data Mining,2000,conf/sigmod/AgrawalS00
"Reynold Cheng, Dmitri V. Kalashnikov, Sunil Prabhakar",SIGMOD Conference,Evaluating Probabilistic Queries over Imprecise Data,2003,conf/sigmod/ChengKP03
"Sunil Prabhakar, Reynold Cheng",SIGMOD Record,Managing uncertainty in sensor database,2003,journals/sigmod/ChengP03
"Richard R. Muntz, Leana Golubchik, Steven Berson",SIGMOD Conference,Fault Tolerant Design of Multimedia Servers,1995,conf/sigmod/BersonGM95
C. J. Date,SIGMOD Record,Edgar F. Codd: a tribute and personal memoir,2003,journals/sigmod/Date03
"Meikel P�ss, Chris Floyd",SIGMOD Record,New TPC Benchmarks for Decision Support and Web Commerce,2000,journals/sigmod/PoessF00
"Ramaraju Kalidindi, Vijay Kumar, Rajgopal Kannan, S. Sitharama Iyengar",SIGMOD Record,Energy and rate based MAC protocol for wireless sensor networks,2003,journals/sigmod/KannanKIK03
"Clement T. Yu, Weiyi Meng, George Philip",VLDB,Distributed Top-N Query Processing with Possibly Uncooperative Local Systems,2003,conf/vldb/YuPM03
"Jignesh M. Patel, Laurie Hammel",VLDB,Searching on the Secondary Structure of Protein Sequences,2002,conf/vldb/HammelP02
Karl Aberer,SIGMOD Record,Guest editor's introduction,2003,journals/sigmod/Aberer03c
"Arvind Nithrakashyap, Rajendran M. Sivasankaran, Jayavel Shanmugasundaram, Krithi Ramamritham",SIGMOD Conference,Efficient Concurrency Control for Broadcast Environments,1999,conf/sigmod/ShanmugasundaramNSR99
"Margaret H. Dunham, Abdelsalam Helal",SIGMOD Record,Mobile Computing and Databases: Anything New?,1995,journals/sigmod/DunhamH95a
"Leslie D. Fife, Le Gruenwald",SIGMOD Record,Research issues for data communication in mobile ad-hoc network database systems,2003,journals/sigmod/FifeG03
"Ren�e J. Miller, Yuping Yang",SIGMOD Conference,Association Rules over Interval Data,1997,conf/sigmod/YangM97
"Jun Zhang, Dimitris Papadias, Manli Zhu, Yufei Tao, Dik Lun Lee",SIGMOD Conference,Location-based Spatial Queries,2003,conf/sigmod/ZhangZPTL03
"Val�rie Issarny, Patrick Valduriez, Khaled Yagoub, Daniela Florescu",VLDB,Building and Customizing Data-Intensive Web Sites Using Weave,2000,conf/vldb/YagoubFIV00a
"Luis Gravano, Nicolas Bruno, Surajit Chaudhuri",SIGMOD Conference,STHoles: A Multidimensional Workload-Aware Histogram,2001,conf/sigmod/BrunoCG01
"Jeroen Hoppenbrouwers, Mike P. Papazoglou",SIGMOD Record,Contextualizing the Information Space in Federated Digital Libraries,1999,journals/sigmod/PapazoglouH99
"Jim Gray, Betty Salzberg, Stefano Ceri, Andreas Reuter, Gerhard Weikum",VLDB,Databases and Workflow Management: What is it All About? (Panel),1995,conf/vldb/ReuterCGSW95
Leonard J. Seligman,SIGMOD Record,Industry Perspectives,1997,journals/sigmod/Seligman97
"Laks V. S. Lakshmanan, Jian Pei, Jiawei Han",VLDB,Quotient Cube: How to Summarize the Semantics of a Data Cube,2002,conf/vldb/LakshmananPH02
"Charu C. Aggarwal, Philip S. Yu",SIGMOD Conference,Finding Generalized Projected Clusters In High Dimensional Spaces,2000,conf/sigmod/AggarwalY00
Marianne Winslett,SIGMOD Record,Hector Garcia-Molina Speaks Out,2002,journals/sigmod/Winslett02b
"James J. Lu, Guido Moerkotte, Joachim Sch�, V. S. Subrahmanian",SIGMOD Conference,Efficient Maintenance of Materialized Mediated Views,1995,conf/sigmod/LuMSS95
"Rainer Gallersd�rfer, Matthias Nicola",VLDB,Improving Performance in Replicated Databases through Relaxed Coherency,1995,conf/vldb/GallersdorferN95
Nelson Mendon�a Mattos,VLDB,Supporting Procedural Constructs in SQL Compilers,1996,conf/vldb/Mattos96
Dave Liles,VLDB,The Zero Latency Enterprise,2000,conf/vldb/Ladin00
"Jeanne VanBriesen, Paul S. Fischbeck, Christos Faloutsos, Anastassia Ailamaki, Mitchell J. Small",SIGMOD Record,An environmental sensor network to determine drinking water quality and security,2003,journals/sigmod/AilamakiFFSV03
"Surajit Chaudhuri, Nicolas Bruno, Luis Gravano",ACM Trans. Database Syst.,Top-k selection queries over relational databases: Mapping strategies and performance evaluation,2002,journals/tods/BrunoCG02
"Z. Meral �zsoyoglu, Tolga Bozkaya",ACM Trans. Database Syst.,Indexing Large Metric Spaces for Similarity Search Queries,1999,journals/tods/BozkayaO99
"Carlotta Domeniconi, Vassilis J. Tsotras, George Kollios, Dimitrios Gunopulos",SIGMOD Conference,Approximating Multi-Dimensional Aggregate Range Queries over Real Attributes,2000,conf/sigmod/GunopulosKTD00
Anand Deshpande,VLDB,Linking Business to Deliver Value: A Data Management Challenge,2000,conf/vldb/Deshpande00
"Hans-Peter Kriegel, Daniel A. Keim",SIGMOD Conference,VisDB: A System for Visualizing Large Databases,1995,conf/sigmod/KeimK95
"Surojit Chatterjee, Gholamhosein Sheikholeslami, Aidong Zhang",VLDB,WaveCluster: A Multi-Resolution Clustering Approach for Very Large Spatial Databases,1998,conf/vldb/SheikholeslamiCZ98
John R. Smith,SIGMOD Conference,MPEG-7 Standard for Multimedia Databases,2001,conf/sigmod/Smith01
"Nick Koudas, H. V. Jagadish, Divesh Srivastava",SIGMOD Conference,On Effective Multi-Dimensional Indexing for Strings,2000,conf/sigmod/JagadishKS00
Anand Rajaraman,SIGMOD Conference,E-Commerce Database Issues and Experience,1999,conf/sigmod/Rajaraman99
"Anandi Herlekar, Atul Deopujari, Shaymsunder Gopale, Shridhar Shukla, Krithi Ramamritham",VLDB,enTrans: A System for Flexible Consistency Maintenance in Directory Applications,2002,conf/vldb/HerlekarDRGS02
