title,year,authors,venue
Adaptive selectivity estimation using query feedback,1994,"Chungmin Melvin Chen, Nick Roussopoulos",International Conference on Management of Data
Optimization of dynamic query evaluation plans,1994,"Richard L. Cole, Goetz Graefe",International Conference on Management of Data
On parallel execution of multiple pipelined hash joins,1994,"Hui-I Hsiao, Ming-Syan Chen, Philip S. Yu",International Conference on Management of Data
Estimating page fetches for index scans with finite LRU buffers,1994,"Arun Swami, K. Bernhard Schiefer",International Conference on Management of Data
Spatial joins using seeded trees,1994,"Ming-Ling Lo, Chinya V. Ravishankar",International Conference on Management of Data
Multi-step processing of spatial joins,1994,"Thomas Brinkhoff, Hans-Peter Kriegel, Ralf Schneider, Bernhard Seeger",International Conference on Management of Data
AlphaSort: a RISC machine sort,1994,"Chris Nyberg, Tom Barclay, Zarka Cvetanovic, Jim Gray, Dave Lomet",International Conference on Management of Data
Managing memory for real-time queries,1994,"Hwee Hwa Pang, Michael J. Carey, Miron Livny",International Conference on Management of Data
Distributed file organization with scalable cost/performance,1994,"Radek Vingralek, Yuri Breitbart, Gerhard Weikum",International Conference on Management of Data
Quickly generating billion-record synthetic databases,1994,"Jim Gray, Prakash Sundaresan, Susanne Englert, Ken Baclawski, Peter J. Weinberger",International Conference on Management of Data
Metadata in video databases,1994,"Ramesh Jain, Arun Hampapur",ACM SIGMOD Record
A metadatabase system for semantic image search by a mathematical model of meaning,1994,"Yasushi Kiyoki, Takashi Kitagawa, Takanari Hayama",ACM SIGMOD Record
Sequoia 2000 metadata schema for satellite images,1994,"Jean T. Anderson, Michael Stonebraker",ACM SIGMOD Record
Using metadata for the intelligent browsing of structured media objects,1994,"William I. Grosky, Farshad Fotouhi, Ishwar K. Sethi, Bogdan Capatina",ACM SIGMOD Record
Metadata for integrating speech documents in a text retrieval system,1994,"Ulrike Glavitsch, Peter Sch&#228;uble, Martin Wechsler",ACM SIGMOD Record
Metadata for mixed-media access,1994,"Francine Chen, Marti Hearst, Julian Kupiec, Jan Pedersen, Lynn Wilcox",ACM SIGMOD Record
Loading databases using dataflow parallelism,1994,"Tom Barclay, Robert Barnes, Jim Gray, Prakash Sundaresan",ACM SIGMOD Record
Recent design trade-offs in SQL3,1994,"Nelson Mattos, Linda G. DeMichiel",ACM SIGMOD Record
Unix RDBMS: the next generation what are the Unix relational-database vendors doing to survive in the next generation of client/server environments,1994,Bill Rosenblatt,ACM SIGMOD Record
Sleepers and workaholics: caching strategies in mobile environments,1994,"Daniel Barbar&#225;, Tomasz Imieli&#324;ski",International Conference on Management of Data
Data replication for mobile computers,1994,"Yixiu Huang, Prasad Sistla, Ouri Wolfson",International Conference on Management of Data
Energy efficient indexing on air,1994,"Tomasz Imielinski, S. Viswanathan, B. R. Badrinath",International Conference on Management of Data
SIGMOD challenges paper: database issues in telecommunications network management,1994,Ilsoo Ahn,International Conference on Management of Data
ASSET: a system for supporting extended transactions,1994,"A. Biliris, S. Dar, N. Gehani, H. V. Jagadish, K. Ramamritham",International Conference on Management of Data
ARIES/CSA: a method for database recovery in client-server architectures,1994,"C. Mohan, Inderpal Narang",International Conference on Management of Data
Ensuring relaxed atomicity for flexible transactions in multidatabase systems,1994,"Aidong Zhang, Marian Nodine, Bharat Bhargava, Omran Bukhres",International Conference on Management of Data
Virtual database technology,1997,"Ashish Gupta, Venky Harinarayan, Anand Rajaraman",ACM SIGMOD Record
Research issues in federated database systems: report of EFDBS '97 workshop,1997,"S. Conrad, B. Eaglestone, W. Hasselbring, M. Roantree, M. Sch&#246;hoff, M. Str&#228;ssler, M. Vermeer, F. Saltor",ACM SIGMOD Record
Information systems research at George Mason University,1997,"Sushil Jajodia, Daniel Barbar&#225;, Alex Brodsky, Larry Kerschberg, Ami Motro, Edgar Sibley, X. Sean Wang",ACM SIGMOD Record
"The five-minute rule ten years later, and other computer storage rules of thumb",1997,"Jim Gray, Goetz Graefe",ACM SIGMOD Record
Extracting entity profiles from semistructured information spaces,1997,"Robert A. Nado, Scott B. Huffman",ACM SIGMOD Record
Integrating dynamically-fetched external information into a DBMS for semistructured data,1997,"Jason McHugh, Jennifer Widom",ACM SIGMOD Record
Workshop on workflow management in scientific and engineering applications-report,1997,"R. McClatchey, G. Vossen",ACM SIGMOD Record
Inferring structure in semistructured data,1997,"Svetlozer Nestorov, Serge Abiteboul, Rajeev Motwani",ACM SIGMOD Record
Management of semistructured data,1997,Dan Suciu,ACM SIGMOD Record
"Research in databases and data-intensive applications: Computer Science Dept. and FIZ, University of Karlsruhe",1997,"Brigitta K&#246;nig-Ries, Peter C. Lockermann",ACM SIGMOD Record
Semistructured and structured data in the Web: going back and forth,1997,"Paolo Atzeni, Giansalvatore Mecca, Paolo Merialdo",ACM SIGMOD Record
Wrapper generation for semi-structured Internet sources,1997,"Naveen Ashish, Craig A. Knoblock",ACM SIGMOD Record
Database systems-breaking out of the box,1997,"Avi Silberschatz, Stan Zdonik",ACM SIGMOD Record
Asserting beliefs in MLS relational models,1997,"Nenad A. Jukic, Susan V. Vrbsky",ACM SIGMOD Record
Lore: a database management system for semistructured data,1997,"Jason McHugh, Serge Abiteboul, Roy Goldman, Dallas Quass, Jennifer Widom",ACM SIGMOD Record
Report on DART '96: databases: active and real-time (concepts meet practice),1997,"Krithi Ramamritham, Nandit Soparkar",ACM SIGMOD Record
Where will object technology drive data administration?,1998,Arnon Rosenthal,ACM SIGMOD Record
Repositories and object oriented databases,1998,Philip A. Bernstein,ACM SIGMOD Record
Towards on-line analytical mining in large databases,1998,Jiawei Han,ACM SIGMOD Record
Intelligent access to heterogeneous information sources: report on the 4th workshop on knowledge representation meets databases,1997,"Franz Baader, Manfred A. Jeusfeld, Werner Nutt",ACM SIGMOD Record
An extensible notation for spatiotemporal index queries,1998,"Vassilis J. Tsotras, Christian S. Jensen, Richard Thomas Snodgrass",ACM SIGMOD Record
T2: a customizable parallel database for multi-dimensional data,1998,"Chialin Chang, Anurag Acharya, Alan Sussman, Joel Saltz",ACM SIGMOD Record
Workflow history management,1998,"Pinar Koksal, Sena Nural Arpinar, Asuman Dogac",ACM SIGMOD Record
Towards a richer Web object model,1998,Frank Manola,ACM SIGMOD Record
Materialized views and data warehouses,1998,Nick Roussopoulos,ACM SIGMOD Record
Applications of JAVA programming language to database management,1998,"Bradley F. Burton, Victor W. Marek",ACM SIGMOD Record
Unbundling active functionality,1998,"Stella Gatziu, Arne Koschel, G&#252;nter von B&#252;ltzingsloewen, Hans Fritschi",ACM SIGMOD Record
Mining fuzzy association rules in databases,1998,"Chan Man Kuok, Ada Fu, Man Hon Wong",ACM SIGMOD Record
The database and information system research group at the University of ULM,1997,"Peter Dadam, Wolfgang Klas",ACM SIGMOD Record
Workshop report on experiences using object data management in the real-world,1998,Akmal B. Chaudhri,ACM SIGMOD Record
Report on the second IEEE metadata conference (Metadata '97),1998,"Ron Musick, Chris Miller",ACM SIGMOD Record
PREDATOR: a resource for database research,1998,Praveen Seshadri,ACM SIGMOD Record
Your mediators need data conversion!,1998,"Sophie Cluet, Claude Delobel, J&#233;r&#466;me Sim&#233;on, Katarzyna Smaga",International Conference on Management of Data
Dimensionality reduction for similarity searching in dynamic databases,1998,"K. V. Ravi Kanth, Divyakant Agrawal, Ambuj Singh",International Conference on Management of Data
Optimal multi-step k-nearest neighbor search,1998,"Thomas Seidl, Hans-Peter Kriegel",International Conference on Management of Data
The pyramid-technique: towards breaking the curse of dimensionality,1998,"Stefan Berchtold, Christian B&#246;hm, Hans-Peter Kriegal",International Conference on Management of Data
Cost-based query scrambling for initial delays,1998,"Tolga Urhan, Michael J. Franklin, Laurent Amsaleg",International Conference on Management of Data
Interaction of query evaluation and buffer management for information retrieval,1998,"Bj&#246;rn T. J&#243;nsson, Michael J. Franklin, Divesh Srivastava",International Conference on Management of Data
Efficient mid-query re-optimization of sub-optimal query execution plans,1998,"Navin Kabra, David J. DeWitt",International Conference on Management of Data
Automatic subspace clustering of high dimensional data for data mining applications,1998,"Rakesh Agrawal, Johannes Gehrke, Dimitrios Gunopulos, Prabhakar Raghavan",International Conference on Management of Data
Efficiently mining long patterns from databases,1998,"Roberto J. Bayardo, Jr.",International Conference on Management of Data
CURE: an efficient clustering algorithm for large databases,1998,"Sudipto Guha, Rajeev Rastogi, Kyuseok Shim",International Conference on Management of Data
Changing the rules: transformations for rule-based optimizers,1998,"Mitch Cherniack, Stan Zdonik",International Conference on Management of Data
Query unnesting in object-oriented databases,1998,Leonidas Fegaras,International Conference on Management of Data
Reusing invariants: a new strategy for correlated queries,1998,"Jun Rao, Kenneth A. Ross",International Conference on Management of Data
Parallel mining algorithms for generalized association rules with classification hierarchy,1998,"Takahiko Shintani, Masaru Kitsuregawa",International Conference on Management of Data
Exploratory mining and pruning optimizations of constrained associations rules,1998,"Raymond T. Ng, Laks V. S. Lakshmanan, Jiawei Han, Alex Pang",International Conference on Management of Data
Query flocks: a generalization of association-rule mining,1998,"Dick Tsur, Jeffrey D. Ullman, Serge Abiteboul, Chris Clifton, Rajeev Motwani, Svetlozar Nestorov, Arnon Rosenthal",International Conference on Management of Data
Bitmap index design and evaluation,1998,"Chee-Yong Chan, Yannis E. Ioannidis",International Conference on Management of Data
AutoAdmin what-if index analysis utility,1998,"Surajit Chaudhuri, Vivek Narasayya",International Conference on Management of Data
New sampling-based summary statistics for improving approximate query answers,1998,"Phillip B. Gibbons, Yossi Matias",International Conference on Management of Data
Integrating association rule mining with relational database systems: alternatives and implications,1998,"Sunita Sarawagi, Shiby Thomas, Rakesh Agrawal",International Conference on Management of Data
Enhanced hypertext categorization using hyperlinks,1998,"Soumen Chakrabarti, Byron Dom, Piotr Indyk",International Conference on Management of Data
Cost-based optimization of decision support queries using transient-views,1998,"Subbu N. Subramanian, Shivakumar Venkataraman",International Conference on Management of Data
NoDoSE-a tool for semi-automatically extracting structured and semistructured data from text documents,1998,Brad Adelberg,International Conference on Management of Data
Extracting schema from semistructured data,1998,"Svetlozar Nestorov, Serge Abiteboul, Rajeev Motwani",International Conference on Management of Data
Caching multidimensional queries using chunks,1998,"Prasad M. Deshpande, Karthikeyan Ramasamy, Amit Shukla, Jeffrey F. Naughton",International Conference on Management of Data
Simultaneous optimization and evaluation of multiple dimensional queries,1998,"Yihong Zhao, Prasad M. Deshpande, Jeffrey F. Naughton, Amit Shukla",International Conference on Management of Data
Incremental distance join algorithms for spatial databases,1998,"G&#237;sli R. Hjaltason, Hanan Samet",International Conference on Management of Data
An alternative storage organization for ROLAP aggregate views based on cubetrees,1998,"Yannis Kotidis, Nick Roussopoulos",International Conference on Management of Data
The DEDALE system for complex spatial queries,1998,"St&#233;phane Grumbach, Philippe Rigaux, Luc Segoufin",International Conference on Management of Data
Similarity query processing using disk arrays,1998,"Apostolos N. Papadopoulos, Yannis Manolopoulos",International Conference on Management of Data
Using schematically heterogeneous structures,1998,Re&#233;e J. Miller,International Conference on Management of Data
Integration of heterogeneous databases without common domains using queries based on textual similarity,1998,William W. Cohen,International Conference on Management of Data
A framework for implementing hypothetical queries,1997,"Timothy Griffin, Richard Hull",International Conference on Management of Data
On saying Enough already! in SQL,1997,"Michael J. Carey, Donald Kossmann",International Conference on Management of Data
Dynamic itemset counting and implication rules for market basket data,1997,"Sergey Brin, Rajeev Motwani, Jeffrey D. Ullman, Shalom Tsur",International Conference on Management of Data
High-performance sorting on networks of workstations,1997,"Andrea C. Arpaci-Dusseau, Remzi H. Arpaci-Dusseau, David E. Culler, Joseph M. Hellerstein, David A. Patterson",International Conference on Management of Data
Scalable parallel data mining for association rules,1997,"Eui-Hong Han, George Karypis, Vipin Kumar",International Conference on Management of Data
Beyond market baskets: generalizing association rules to correlations,1997,"Sergey Brin, Rajeev Motwani, Craig Silverstein",International Conference on Management of Data
DEVise: integrated querying and visual exploration of large datasets,1997,"M. Livny, R. Ramakrishnan, K. Beyer, G. Chen, D. Donjerkovic, S. Lawande, J. Myllymaki, K. Wenger",International Conference on Management of Data
Efficiently supporting ad hoc queries in large datasets of time sequences,1997,"Flip Korn, H. V. Jagadish, Christos Faloutsos",International Conference on Management of Data
The BUCKY object-relational benchmark,1997,"Michael J. Carey, David J. DeWitt, Jeffrey F. Naughton, Mohammad Asgarian, Paul Brown, Johannes E. Gehrke, Dhaval N. Shah",International Conference on Management of Data
Database performance in the real world: TPC-D and SAP R/3,1997,"Joachen Doppelhammer, Thomas H&#246;ppler, Alfons Kemper, Donald Kossmann",International Conference on Management of Data
An array-based algorithm for simultaneous multidimensional aggregates,1997,"Yihong Zhao, Prasad M. Deshpande, Jeffrey F. Naughton",International Conference on Management of Data
The STRIP rule system for efficiently maintaining derived data,1997,"Brad Adelberg, Hector Garcia-Molina, Jennifer Widom",International Conference on Management of Data
Balancing push and pull for data broadcast,1997,"Swarup Acharya, Michael Franklin, Stanley Zdonik",International Conference on Management of Data
Online aggregation,1997,"Joseph M. Hellerstein, Peter J. Haas, Helen J. Wang",International Conference on Management of Data
STARTS: Stanford proposal for Internet meta-searching,1997,"Luis Gravano, Chen-Chuan K. Chang, H&#233;ctor Garc&#237;a-Molina, Andreas Paepcke",International Conference on Management of Data
InfoSleuth: agent-based semantic integration of information in open and dynamic environments,1997,"R. J. Bayardo, Jr., W. Bohrer, R. Brice, A. Cichocki, J. Fowler, A. Helal, V. Kashyap, T. Ksiezyk, G. Martin, M. Nodine, M. Rashid, M. Rusinkiewicz, R. Shea, C. Unnikrishnan, A. Unruh, D. Woelk",International Conference on Management of Data
Supporting multiple view maintenance policies,1997,"Latha S. Colby, Akira Kawaguchi, Daniel F. Lieuwen, Inderpal Singh Mumick, Kenneth A. Ross",International Conference on Management of Data
Efficient view maintenance at data warehouses,1997,"D. Agrawal, A. El Abbadi, A. Singh, T. Yurek",International Conference on Management of Data
Eliminating costly redundant computations from SQL trigger executions,1997,"Fran&#231;ois Llirbat, Fran&#231;oise Fabret, Eric Simon",International Conference on Management of Data
Temporal aggregation in active database rules,1997,"Iakovos Motakis, Carlo Zaniolo",International Conference on Management of Data
Association rules over interval data,1997,"R. J. Miller, Y. Yang",International Conference on Management of Data
Secure transaction processing in firm real-time database systems,1997,"Binto George, Jayant Haritsa",International Conference on Management of Data
A unified framework for enforcing multiple access control policies,1997,"Sushil Jajodia, Pierangela Samarati, V. S. Subrahmanian, Eliza Bertino",International Conference on Management of Data
Revisiting commit processing in distributed database systems,1997,"Ramesh Gupta, Jayant Haritsa, Krithi Ramamritham",International Conference on Management of Data
Partitioned garbage collection of a large object store,1997,"Umesh Maheshwari, Barbara Liskov",International Conference on Management of Data
Size separation spatial join,1997,"Nick Koudas, Kenneth C. Sevcik",International Conference on Management of Data
"Building a scaleable geo-spatial DBMS: technology, implementation, and evaluation",1997,"Jignesh Patel, JieBing Yu, Navin Kabra, Kristin Tufte, Biswadeep Nag, Josef Burger, Nancy Hall, Karthikeyan Ramasamy, Roger Lueder, Curt Ellmann, Jim Kupsch, Shelly Guo, Johan Larson, David De Witt, Jeffrey Naughton",International Conference on Management of Data
A toolkit for negotiation support interfaces to multi-dimensional data,1997,"Michael Gebhardt, Matthias Jarke, Stephan Jacobs",International Conference on Management of Data
Distance-based indexing for high-dimensional metric spaces,1997,"Tolga Bozkaya, Meral Ozsoyoglu",International Conference on Management of Data
The SR-tree: an index structure for high-dimensional nearest neighbor queries,1997,"Norio Katayama, Shin'ichi Satoh",International Conference on Management of Data
Wave-indices: indexing evolving databases,1997,"Narayanan Shivakumar, H&#233;ctor Garc&#237;a-Molina",International Conference on Management of Data
On-line warehouse view maintenance,1997,"Dallan Quass, Jennifer Widom",International Conference on Management of Data
Template-based wrappers in the TSIMMIS system,1997,"Joachim Hammer, H&#233;ctor Garc&#237;a-Molina, Svetlozar Nestorov, Ramana Yerneni, Marcus Breunig, Vasilis Vassalos",International Conference on Management of Data
MDM: a multiple-data model tool for the management of heterogeneous database schemes,1997,"Paolo Atzeni, Riccardo Torlone",International Conference on Management of Data
The Context Interchange mediator prototype,1997,"S. Bressan, C. H. Goh, K. Fynn, M. Jakobisiak, K. Hussein, H. Kon, T. Lee, S. Madnick, T. Pena, J. Qu, A. Shum, M. Siegel",International Conference on Management of Data
SEMCOG: an object-based image retrieval system and its visual query interface,1997,"Wen-Syan Li, K. Sel&#231;uk Candan, Kyoji Hirata, Yoshinori Hara",International Conference on Management of Data
The distributed information search component (Disco) and the World Wide Web,1997,"Anthony Tomasic, R&#233;my Amouroux, Philippe Bonnet, Olga Kapitskaia, Hubert Naacke, Louiqa Raschid",International Conference on Management of Data
The InfoSleuth Project,1997,"R. J. Bayardo, Jr., W. Bohrer, R. Brice, A. Cichocki, J. Fowler, A. Halal, V. Kashyap, T. Ksiezyk, G. Martin, M. Nodine, M. Rashid, M. Rusinkiewicz, R. Shea, C. Unnikrishnan, A. Unruh, D. Woelk",International Conference on Management of Data
Infomaster: an information integration system,1997,"Michael R. Genesereth, Arthur M. Keller, Oliver M. Duschka",International Conference on Management of Data
Languages for multi-database interoperability,1997,"Fr&#233;d&#233;ric Gingras, Laks V. S. Lakshmanan, Iyer N. Subramanian, Despina Papoulis, Nematollaah Shiri",International Conference on Management of Data
Data warehousing and OLAP for decision support,1997,"Surajit Chaudhuri, Umeshwar Dayal",International Conference on Management of Data
Databases on the Web: technologies for federation architectures and case studies,1997,Ralf Kramer,International Conference on Management of Data
"Object-relational database systems (tutorial): principles, products and challenges",1997,"Michael J. Carey, Nelson M. Mattos, Anil K. Nori",International Conference on Management of Data
"Lessons from Wall Street: case studies in configuration, tuning, and distribution",1997,Dennis Shasha,International Conference on Management of Data
DEVise (demo abstract): integrated querying and visual exploration of large datasets,1997,"M. Livny, R. Ramakrishnan, K. Beyer, G. Chen, D. Donjerkovic, S. Lawande, J. Myllymaki, K. Wenger",International Conference on Management of Data
Picture programming project,1997,"Nita Goyal, Charles Hoch, Ravi Krishnamurthy, Brian Meckler, Michael Suchow, Moshe Zloof",International Conference on Management of Data
Delaunay: a database visualization system,1997,"Isabel F. Cruz, M. Averbuch, Wendy T. Lucas, Melissa Radzyminski, Kirby Zhang",International Conference on Management of Data
Query optimization at the crossroads,1997,Surajit Chaudhuri,International Conference on Management of Data
Disjunctive datalog,1997,"Thomas Eiter, Georg Gottlob, Heikki Mannila",ACM Transactions on Database Systems (TODS)
ProbView: a flexible probabilistic database system,1997,"Laks V. S. Lakshmanan, Nicola Leone, Robert Ross, V. S. Subrahmanian",ACM Transactions on Database Systems (TODS)
Zoo: a desktop experiment management environment,1997,"Yannis E. Ioannidis, Miron Livny, Anastassia Ailamaki, Anand Narayanan, Andrew Therber",International Conference on Management of Data
Transactional client-server cache consistency: alternatives and performance,1997,"Michael J. Franklin, Michael J. Carey, Miron Livny",ACM Transactions on Database Systems (TODS)
OGDI: toward interoperability among geospatial databases,1997,"Gilles Cl&#233;ment, Christian Larouche, Denis Gouin, Paul Morin, Henry Kucera",ACM SIGMOD Record
An extended entity-relationship model for geographic applications,1997,"Thanasis Hadzilacos, Nectaria Tryfona",ACM SIGMOD Record
A query language for a Web-site management system,1997,"Mary Fernandez, Daniela Florescu, Alon Levy, Dan Suciu",ACM SIGMOD Record
Quasi-cubes: exploiting approximations in multidimensional databases,1997,"Daniel Barbar&#225;, Mark Sullivan",ACM SIGMOD Record
The WHIPS prototype for data warehouse creation and maintenance,1997,"Wilburt J. Labio, Yue Zhuge, Janet L. Wiener, Himanshu Gupta, H&#233;ctor Garc&#237;a-Molina, Jennifer Widom",International Conference on Management of Data
Structural matching and discovery in document databases,1997,"Jason Tsong-Li Wang, Dennis Shasha, George J. S. Chang, Liam Relihan, Kaizhong Zhang, Girish Patel",International Conference on Management of Data
STRUDEL: a Web site management system,1997,"Mary Fernandez, Daniela Florescu, Jaewoo Kang, Alon Levy, Dan Suciu",International Conference on Management of Data
GeoMiner: a system prototype for spatial data mining,1997,"Jaiwei Han, Krzysztof Koperski, Nebojsa Stefanovic",International Conference on Management of Data
Sentinel: an object-oriented DBMS with event-based rules,1997,S. Chakravarthy,International Conference on Management of Data
The MENTOR workbench for enterprise-wide workflow management,1997,"Dirk Wodtke, Jeanine Weissenfels, Gerhard Weikum, Angelika Kotz Dittrich, Peter Muth",International Conference on Management of Data
S3: similarity search in CAD database systems,1997,"Stefan Berchtold, Hans-Peter Kriegel",International Conference on Management of Data
PREDATOR: an OR-DBMS with enhanced data types,1997,"Praveen Seshadri, Mark Paskin",International Conference on Management of Data
The active database management system manifesto: a rulebase of ADBMS features,1996,Corporate Act-Net Consortium,ACM SIGMOD Record
Report on first international workshop on real-time database systems,1996,"Azer Bestavros, Kwei-Jay Lin, Sang Son",ACM SIGMOD Record
BeSS object storage manager: architecture overview,1996,"Alexandros Biliris, Euthimios Panagos",ACM SIGMOD Record
Middle East Technical University Software Research and Development Center,1996,Asuman Dogac,ACM SIGMOD Record
Much ado about shared-nothing,1996,"Michael G. Norman, Thomas Zurek, Peter Thanisch",ACM SIGMOD Record
On the cost of monitoring and reorganization of object bases for clustering,1996,"Carsten A. Gerlhof, Alfons Kemper, Guido Moerkotte",ACM SIGMOD Record
Open issues in parallel query optimization,1996,"Waqar Hasan, Daniela Florescu, Patrick Valduriez",ACM SIGMOD Record
Control strategies for complex relational query processing in shared nothing systems,1996,"Lionel Brunie, Harald Kosch",ACM SIGMOD Record
"LH*-a scalable, distributed data structure",1996,"Witold Litwin, Marie-Anna Neimat, Donovan A. Schneider",ACM Transactions on Database Systems (TODS)
Semantics for update rule programs and implementation in a relational database management system,1996,"Louiqa Raschid, Jorge Lobo",ACM Transactions on Database Systems (TODS)
Extended ephemeral logging: log storage management for applications with long lived transactions,1997,"John S. Keen, William J. Dally",ACM Transactions on Database Systems (TODS)
Outerjoin simplification and reordering for query optimization,1997,"C&#233;sar Galindo-Legaria, Arnon Rosenthal",ACM Transactions on Database Systems (TODS)
"OLAP, relational, and multidimensional database systems",1996,George Colliat,ACM SIGMOD Record
UniSQL's next-generation object-relational database management system,1996,"Albert D'Andrea, Phil Janus",ACM SIGMOD Record
Scientists called upon to take actions,1996,Xiaolei Qian,ACM SIGMOD Record
Model and verification of a data manager based on ARIES,1996,Dean Kuo,ACM Transactions on Database Systems (TODS)
Dynamic information visualization,1996,Yannis E. Ioannidis,ACM SIGMOD Record
Information visualization,1996,"Tiziana Catarci, Isabel F. Cruz",ACM SIGMOD Record
Spotfire: an information exploration environment,1996,Christopher Ahlberg,ACM SIGMOD Record
Incremental data structures and algorithms for dynamic query interfaces,1996,"Egemen Tanin, Richard Beigel, Ben Shneiderman",ACM SIGMOD Record
"A response to R. Camps' article Domains, relations and religious wars",1996,C. J. Date,ACM SIGMOD Record
An axiomatic model of dynamic schema evolution in objectbase systems,1997,"Randel J. Peters, M. Tamer &#214;zsu",ACM Transactions on Database Systems (TODS)
The aggregate data problem: a system for their definition and management,1996,"M. Rafanelli, A. Bezenchek, L. Tininini",ACM SIGMOD Record
"In reply to Domains, relations and religious wars",1996,Hugh Darwen,ACM SIGMOD Record
Report from the NSF workshop on workflow and process automation in information systems,1996,"Amit Sheth, Dimitrios Georgakopoulos, Stef M. M. Joosten, Marek Rusinkiewicz, Walt Scacchi, Jack Wileden, Alexander L. Wolf",ACM SIGMOD Record
3D geographic network displays,1996,"Kenneth C. Cox, Stephen G. Eick, Taosong He",ACM SIGMOD Record
The Mariposa distributed database management system,1996,Jeff Sidell,ACM SIGMOD Record
An orthogonally persistent Java,1996,"M. P. Atkinson, L. Dayn&#232;s, M. J. Jordan, T. Printezis, S. Spence",ACM SIGMOD Record
Pixel-oriented database visualizations,1996,Daniel A. Keim,ACM SIGMOD Record
A framework for information visualisation,1996,"Jessie B. Kennedy, Kenneth J. Mitchell, Peter J. Barclay",ACM SIGMOD Record
Applying database visualization to the World Wide Web,1996,"Masum Z. Hasan, Alberto O. Mendelzon, Dimitra Vista",ACM SIGMOD Record
To table or not to table: a hypertabular answer,1996,"Giuseppe Santucci, Laura Tarantino",ACM SIGMOD Record
WWW-UDK: a web-based environmental meta-information system,1997,"Ralf Kramer, Ralf Nicholai, Arne Koschel, Claudia Rolker, Peter Lockemann, Andree Keitel, Rudolf Legat, Konrad Tirm",ACM SIGMOD Record
UIS-management of data and services in the environmental information systems of Baden-W&#252;rttemberg,1997,"Wolf-Fritz Riekert, Roland Mayer-F&#246;ll, Gerlinde Wiest",ACM SIGMOD Record
Integrating modelling systems for environmental management information systems,1997,"David J. Abel, Kerry Taylor, Dean Kun",ACM SIGMOD Record
Improving access to environmental data using context information,1997,"Anthony Tomasic, Eric Simon",ACM SIGMOD Record
New programs at DARPA and NSF,1996,Xiolai Qian,ACM SIGMOD Record
Environmental information systems,1997,Oliver G&#252;nther,ACM SIGMOD Record
New standard for stored procedures in SQL,1996,Andrew Eisenberg,ACM SIGMOD Record
"TPC-D-the challenges, issues and results",1996,Ramesh Bhashyam,ACM SIGMOD Record
Extraction of object-oriented structures from existing relational databases,1997,"Shekar Ramanathan, Julia Hodges",ACM SIGMOD Record
An overview of data warehousing and OLAP technology,1997,"Surajit Chaudhuri, Umeshwar Dayal",ACM SIGMOD Record
Min-max compression methods for medical image databases,1997,"Kosmas Karadimitriou, John M. Tyler",ACM SIGMOD Record
Converting relational to object-oriented databases,1997,Joseph Fong,ACM SIGMOD Record
"Mediator languages-a proposal for a standard: report of an I3/POB working group held at the University of Maryland, April 12 and 13, 1996",1997,"Peter Buneman, Louiqa Raschid, Jeffrey Ullman",ACM SIGMOD Record
A consumer viewpoint on Mediator languages-a proposal for a standard,1997,"Arnon Rosenthal, Erich Hughes, Scott Renner, Len Seligman",ACM SIGMOD Record
Data management for earth system science,1997,"James Frew, Jeff Dozier",ACM SIGMOD Record
Open GIS and on-line environmental libraries,1997,Kenn Gardels,ACM SIGMOD Record
Similarity-based queries for time series data,1997,"Davood Rafiei, Alberto Mendelzon",International Conference on Management of Data
Fast parallel similarity search in multimedia databases,1997,"Stefan Berchtold, Christian B&#246;hm, Bernhard Braunm&#252;ller, Daniel A. Keim, Hans-Peter Kriegel",International Conference on Management of Data
An adaptive data replication algorithm,1997,"Ouri Wolfson, Sushil Jajodia, Yixiu Huang",ACM Transactions on Database Systems (TODS)
Applying formal methods to semantic-based decomposition of transactions,1997,"Paul Ammann, Sushil Jajodia, Indrakshi Ray",ACM Transactions on Database Systems (TODS)
On the semantics of now in databases,1997,"James Clifford, Curtis Dyreson, Tom&#225;s Isakowitz, Christian S. Jensen, Richard Thomas Snodgrass",ACM Transactions on Database Systems (TODS)
Logical design for temporal databases with multiple granularities,1997,"X. Sean Wang, Claudio Bettini, Alexander Brodsky, Sushil Jajodia",ACM Transactions on Database Systems (TODS)
Opportunities in information management and assurance,1997,Xiaolei Qian,ACM SIGMOD Record
Query previews for networked information systems: a case study with NASA environmental data,1997,"Khoa Doan, Catherine Plaisant, Ben Shneiderman, Tom Bruns",ACM SIGMOD Record
Database buffer size investigation for OLTP workloads,1997,"Thin-Fong Tsuei, Allan N. Packer, Keng-Tai Ko",International Conference on Management of Data
Maintenance of data cubes and summary tables in a warehouse,1997,"Inderpal Singh Mumick, Dallan Quass, Barinderpal Singh Mumick",International Conference on Management of Data
Cubetree: organization of and bulk incremental updates on the data cube,1997,"Nick Roussopoulos, Yannis Kotidis, Mema Roussopoulos",International Conference on Management of Data
Range queries in OLAP data cubes,1997,"Ching-Tien Ho, Rakesh Agrawal, Nimrod Megiddo, Ramakrishnan Srikant",International Conference on Management of Data
Concurrency and recovery in generalized search trees,1997,"Marcel Kornacker, C. Mohan, Joseph M. Hellerstein",International Conference on Management of Data
Highly concurrent cache consistency for indices in client-server database systems,1997,"Markos Zaharioudakis, Michael J. Carey",International Conference on Management of Data
Improved query performance with variant indexes,1997,"Patrick O'Neil, Dallan Quass",International Conference on Management of Data
