title,starring,entityUrl,writer,editor
Hell Below,James Francis Durante,Match6085,Edward Ellsberg,
Yogen,,Match19466,Norio Tsuruta,
Atonement,Keira Christina Knightley,Match2183,Christopher James Hampton,
,Colin James Farrell,Match16808,Robert Towne,
,Ice T,Match5809,Robert Lee Zemeckis,
Needing You,Cheng Sau Man,Match20689,Yau Nai Hoi,
Rocky II,Carl Weathers,Match1755,Sylvester Gardenzio Stallone,
Aitraaz,Rajiv Hari Om Bhatia,Match4462,Shiraz Ahmed,
Tyler Perry's Meet the Browns,Sofia Vergara,D124755,Tyler Perry,
,Roger Mirmont,Match1590,Jean-Claude Brisseau,
,John Deszo Ratzenberger,D124757,,
,Tora Sudiro,D124758,Michael Tjandramulya,
Final Analysis,Kimila Ann Basinger,Match22196,Wesley Strick,
,Kyoko Teranishi,Match7380,,
Daphne and the Pirate,Lillian Diana Gish,Match9686,D. W. Griffith,
Walk on Water,Carola Regnier,Match7946,Gal Uchovsky,
,Jeffrey Leon Bridges,Match1131,Matthew Warchus,
Omar Khayyam,Cornel Wilde,Match2885,Barré Lyndon,
The Lost Boys,Kiefer William Frederick Dempsey George Rufus Sutherland,Match4541,Janice Fischer,
,Harry Bratsburg,Match18828,William Peter Blatty,
Dracula,Donald Henry Pleasence,Match6229,Hamilton Deane,
,Eddie Rivera,Match1837,David Matthew Barnes,
The BFG,David John White,D124769,Roald Dahl,
,Bhoomika Chawla,Match9745,Khalid Mohammed,
On connau00EEt la chanson,Agnès Jaoui,Match9671,Agnès Jaoui,
,Hiroshi Nagano,D124772,,
,Lois Wilson,D124773,Calder Johnstone,
Babilonia,,Match18991,Jorge Salvador,
,Sandra Dee Heidecke,Match7641,Pamela Beall,
Serial (film),Richard Dye,Match21688,Ronald Davidson,
Quasi at the Quackadero,,Match19981,,
Maniac,Joe Spinell,Match1526,Joe Spinell,
,Yvette Carmen Mimieux,Match3921,Beth Sullivan,
"Luke, the Gladiator",Harold Lloyd,Match6203,,
,Santiago Arrieta,Match7479,José A. Bugliot,
,"Roy Harold Scherer, Jr.",Match1048,Leo Gordon,
,"Mina Adamaki
Alexandros Antonopoulos
Mimis Chrisomalis
Christos Efthimiou
Helene Gerasimidou
Vaso Goulielmaki
Haris Gregoropoulos
Kostas Grekas
Pavlos Haikalis
Tasos Halkias
Eleni Kastani
Dimitri Katalifos
Krateros Katsoulis",Match909,Thanasis Papathanasiou,
Young People Fucking,,D124784,"Martin Gero, Aaron Abrams",
DuBarry Was a Lady,Eugene Curran Kelly,Match17503,Nancy Hamilton,
,Nandamuri Taraka Rama Rao,Match21878,Jandhyala,
La prima Angu00E9lica,Fernando Delgado,Match144,Rafael Azcona,
,,D124788,Q. Matye,
The Contender,Mariel Hadley Hemingway,Match9172,Rod Lurie,
,Nancy Kelly,D124790,,
Golden Globe Award for Best Foreign Language Film,"u6E21u8FBA u8B19
Watanabe Ken",Match10666,Tsuyuko Yoshido,
Chasing Rainbows,Charles King,Match7211,Robert E. Hopkins,
Pick Up the Mic,,D124793,,
,Andrew Stevens,Match1726,Andrew Stevens,
,George Sanders,Match1210,Vera Caspary,
,Mark Bedford,D124796,Madness,
,Michael Lorenzo Urie,Match1209,Brian Sloan,
The Shade,Richard Edson,Match19566,Raphael Nadjari,
,Kamal Haasan,D124799,,
,Michael Connell Biehn,Match8123,James Francis Cameron,
Blue Fin,Franz Eberhard August Kru00FCger,Match5875,Colin Thiele,
List of Sundance Film Festival award winners,Nguyen Huu Duoc,Match20913,Tony Bui,
,Shirley Anne Field,D124803,Howard Koch (screenwriter),
Vanina Vanini,Sandra Milo,Match7594,Jean Gruault,
,Kamal Haasan,D124805,,
Hustle & Flow,Anthony Alvin Anderson,Match8050,Craig Brewer,
Ni Liv,Jack Fjeldstad,Match5822,Arne Skouen,
Grand Prix (Cannes Film Festival),Kathy Fields,Match5516,Dalton Trumbo,
El Baile,Conchita Montes,Match3612,Edgar Neville,
Deadly Friend,Kristy Swanson,Match21935,Diana Henstell,
,Rebekah Kochan,Match7075,Steve Bevilacqua,
,Im Eun-gyeong,Match3324,Jeong Yong-gi,
,Miranda Jane Richardson,Match4907,Adrian Hodges,
Dan in Real Life,John Mahoney,Match10954,"Pierce Garnder
Peter Hedges",
,Michael D. Henry,Match7498,James Lee Barrett,
Making It Pleasant for Him,Roscoe Arbuckle,Match7992,,
Doctor Dolittle,Samantha Eggar,Match20680,Hugh Lofting,
"Billy Blazes, Esq.",Harold Lloyd,Match1874,,
Hilary and Jackie,David Morrissey,Match14144,Frank Cottrell Boyce,
Parapalos,Adrián Suárez,Match6421,"Santiago Loza
Ana Poliak
Adriu00E1n Suu00E1rez",
,Elsa Oria,Match1062,,
Spartan,"William Hall Macy, Jr.",Match21385,David Mamet,
Beyond Suspicion,Anne Celeste Heche,Match6711,Matthew Tabak,
Strange Invaders,Paul Le Mat,Match13718,Michael Laughlin,
American Pastime,Gary Cole,D124825,Tony Kayden,
Palme d'Or,Janice Rule,Match359,Donald E. Stewart,
Barbie as the Island Princess,Kelly Sheridan,D124827,,
Miranda,Georgette Lizette Withers,Match5974,Peter Blackmore,
City Slickers,William Jacob Crystal,Match12766,Babaloo Mandel,
L'Homme de Rio,Françoise Dorléac,Match4901,Philippe de Broca,
Qaamarngup uummataa,,Match4341,Jacob Grønlykke,
,Charles Carson,Match1293,John Howard Lawson,
Cargo,Luis Tosar,D124833,Paul Laverty,
,Thilakan,Match21148,Bhadran,
A Severa,Antonio Lavradio,Match20885,J. Bernard Brunius,
Universal Pictures,,Match20907,,
Sweet and Lowdown,Samantha Morton,Match11052,Allen Stewart Ku00F6nigsberg,
,Shammi Kapoor,Match5908,,
,Konidela Siva Sankara Vara Prasad,D124839,,
Sulang Kirilli,Damitha Buddhini Abeyratne,Match10856,Inoka Sathyangani,
Blood and Black Lace,Eva Bartok,Match2123,"Giusseppe Barilla
Marcello Fondata
Mario Bava",Mario Serandrei
The Spy Who Came in from the Cold,Oskar Werner,Match11419,John le Carré,
,Charles William Haines,Match10759,Richard Schayer,
Five Deadly Venoms,Chiang Sheng,Match7735,Ni Kuang,
The Tourist,Johnny Arthur,Match8398,,
Out of the Darkness,,Match4613,T.S. Cook,
,Joan Boniface Winnifrith,Match21863,H. Rider Haggard,
,Natsuki Kato,Match5139,Higuchinsky,
Academy Award for Documentary Feature,,Match21574,Freida Lee Mock,
,Phil Vischer,Match21950,Phil Vischer,
,Lou Costello,Match6504,Arthur Ross,
,Irma P. Hall,Match20814,"George Tillman, Jr.",
In Which Annie Gives it Those Ones,Arundhati Roy,Match2134,Arundhati Roy,
40 Days and 40 Nights,Joshua Daniel Hartnett,Match2757,Rob Perez,
,Grateful Dead,Match9163,,
,Margaret Natalie Smith,Match6773,Malcolm Mowbray,
,Robert Hepler Lowe,Match7099,M.A. Stewart,
,Margie Liszt,Match2358,Felix Adler,
Monkey Business,Harpo Marx,Match22862,S. J. Perelman,
,Vinod Khanna,Match1204,Sachin Bhowmick,
Hollywood Lights,Rita Flynn,Match7695,Ernest Pagano,
,Krishna Bhanji,Match3555,Steven Zaillian,
The Mirror Has Two Faces,George Segal,Match13350,Max-Gu00E9rard Houry,
,M. Amin,D124864,,
La nuit de la vu00E9ritu00E9,Adama Ouédraogo,Match9287,Marc Gautron,
Serial (film),,Match8046,,
Turtles Can Fly,"Soran Ebrahim,
Avaz Latif",D124867,Bahman Ghobadi,
,Claudine Auger,Match8127,Ennio De Concini,
Bosta,Sabah (singer),Match7453,Philippe Aractingi,
The Birds and the Bees,George Gobel,Match11598,Monckton Hoffe,
"Voorbij, voorbij",,Match5710,Gerard Soeteman,
Save The Tiger,John Uhler Lemmon III,Match8114,Steve Shagan,
Halloween 5: The Revenge of Michael Myers,Donald Henry Pleasence,Match8423,Michael Jacobs,
The Perfect Clown,Oliver Hardy,Match14089,"Thomas J. Crizer
Charlie Saxton",
The Rocketeer,Jon Polito,Match6975,Danny Bilson,
,Lane Smith,Match4628,Shawn Schepps,
,Neve Adrianne Campbell,Match12211,Peter Stass,
,Elana K Plye,Match13516,"Elana K. Pyle
David E. Pyle",
,Charles Napier,D124879,Luca D'Alisera,
,Blair Brown,Match9372,Paul Simon,
Captain Horatio Hornblower,Robert Beatty,Match3821,Ben Roberts,
,Jeetendra,Match15784,,
Love 'em and Weep,Arthur Stanley Jefferson,Match11689,Harry Eugene Roach,
Thunderheart,Graham Greene (actor),Match16071,John Fusco,
Quid Pro Quo,Vera Ann Farmiga,D124885,Carlos Brooks,
,Shmuel Rodensky,Match288,Avraham Goldfaden,
,Elizabeth Victoria Montgomery,Match14760,Robert E. Thompson,
Smart Work,Addie McPhail,Match11153,Ernest Pagano,
,311 (band),D124889,,
Left Luggage,Isabella Fiorella Elettra Giovanna Rossellini,Match17010,"Edwin de Vries
Carl Friedman (book)",
Intensity,Molly Parker,Match7546,Dean Koontz,
,Vince Clarke,Match7516,Depeche Mode,
Twister,Suzy Amis,D124893,Mary Robison,
,Viveca Lindfors,Match12874,J. Meade Falkner,
3 Hari Untuk Selamanya,,D124895,Sinar Ayu Massie,
,Vivian Mary Hartley,Match8469,R.C. Sherriff,
A Life Less Ordinary,Holly P. Hunter,Match16661,John Hodge,
Reservation Road,Mira Katherine Sorvino,Match11381,John Burnham Schwartz,
,Edward Arnold (actor),Match3954,Peter Dexter,
In the Good Old Summertime,Joseph Frank Keaton VI,Match3110,Miklos Laszlo,
,Hema Malini,Match12474,,
,,Match8064,Abbas Kiarostami,
"If It's Tuesday, This Must Be Belgium",,Match8251,,
Harry Potter and the Half-Blood Prince,Michael John Gambon,Match2963,Steve Kloves,
,James Neville Mason,Match9954,Leslie Arliss,
Crime and Punishment in Suburbia,Monica Keena,Match7943,Larry Gross,
Berserk!,Ty Hardin,D124907,Aben Kandel,
Mother's Child,Oliver Hardy,Match13893,,
Flesh and Fantasy,Charles Boyer,Match2267,László Vadnay,
He Laughs Last,Oliver Hardy,Match2342,Jess Robbins,
Rationing,Wallace Fitzgerald Beery,Match2093,Harry Ruskin,
Funny Games,Alexander Brady Corbet,D124912,Michael Haneke,
The Mummy,Arnold Vosloo,Match5113,Kevin Jarre,
Serial Lover,Albert Dupontel,Match5680,Romain Berthomieu,
Main Prem Ki Diwani Hoon,Kareena Kapoor,Match6718,Sooraj R. Barjatya,
,Krassimir Dokov,D124916,Iglika Triffonova,
The Crossing Guard,Robin Gayle Wright,Match4253,Sean Penn,
,Shirley Ross,Match8666,Walter DeLeon,
No Wedding Bells,Oliver Hardy,Match12738,Larry Semon,
The Affairs of Martha,Marcia Virginia Hunt,Match10424,"Lee Gold
Isobel Lennart",
,Enrique Muiño,Match13705,Carlos F. Borcosque,
Hercules,Sybille Johanna Danninger,Match9999,Luigi Cozzi,
The Poseidon Adventure,Aaron Chwatt,Match12618,Paul Gallico,
Shankardada Zindabad,,D124924,,
Knick Knack,,Match14094,John Lasseter,
Women in Love,Oliver Reed,Match10023,D.H. Lawrence,
Nothing but Trouble,John Franklin Candy,Match9794,Peter Aykroyd,
,David Llewellyn,Match8627,Phil Austin and Derek Hayes,
A Chump at Oxford,Jimmy Finlayson,Match12491,Felix Adler,
The Three Faces of Eve,Joanne Gignilliat Trimmier Woodward,D124930,Corbett Thigpen,
,Anita Meyer,Match13258,,
Vikramarkudu,Ajay,Match7300,S.S. Rajamouli,
"Cornbread, Earl and Me",Jamaal Wilkes,Match9814,Ronald Fair,
,Jesse Borrego,Match5237,Darnell Martin,
Operation Pacific,Conrad Scott Forbes,Match8208,George Waggner,
,Francis Xavier Bushman,Match15807,,
All Over the Guy,Christina Ricci,Match12888,Dan Bucatinsky,
Poor Baby,Eldon Raymond McKee,Match13464,Elizabeth Miller,
,Mildred Dunnock,Match14188,James Toback,
I Married A Monster from Outer Space,Gloria Talbott,Match15173,Louis Vittes,
Swordfish,Donald Frank Cheadle,Match9375,Skip Woods,
Fortress of Amerikkka,Robert Axelrod,Match11661,Eric Louzil,
,Kamal Haasan,D124943,,
,Nithin Sathya,D124944,N. Sundaresan,
Once Upon a Time in the Midlands,Kathy Burke,Match14784,"Paul Fraser, 
Shane Meadows",
,Brenda De Banzie,Match15364,Frank Harvey,
Snow Blind,Hannah Teter,Match16084,,
The Chocolate War,"John Soursby Glover, Jr.",Match7364,Robert Cormier,
,Kamal Haasan,D124949,,
,Tania Padilla,D124950,Eric Leiser,
Johnny Appleseed,Owen Patrick Eugene McNulty,Match12124,"Winston Hibler
Joe Rinaldi
Erdman Penner
Jesse Marsh",
"Seddok, l'erede di Satana",Susanne Loret,Match7550,Alberto Bevilacqua,
One Million Years B.C.,John Richardson (actor),Match9243,,
Harry in Your Pocket,Walter Davis Pidgeon,Match9578,Ronald Austin,
,Jay Davis,D124955,Dane Cook,
The Saint's Double Trouble,George Sanders (actor),Match6894,Ben Holmes,
The Brave Ones,Oliver Hardy,Match18418,,
,Michel Piccoli,Match15840,Lavinia Currier,
Fogo de Palha,,Match8880,"Plu00EDnio de Castro Ferraz, Canuto Mendes de Almeida",
,Mustafa Qureshi,Match16639,Nasir Adib,
,Don Fellows,Match19727,William Greaves,
You Lucky Dog,Kirk Thomas Cameron,Match6779,David Covell,
Rishtey,Anil Kapoor,Match12304,,
Impromptu,Ralph Brown,Match9027,Sarah Kernochan,
Sudden Impact,Sondra Locke,Match22074,Joseph Stinson,
The White Cliffs of Dover,Alan Marshal (actor),Match5066,Claudine West,
Calendar Girls,Ilyena Vasilievna Mironov,Match9862,Tim Firth,
O Lucky Man!,Malcolm John Taylor,Match11778,David Sherwin and Malcolm McDowell (Story),
FairyTale: A True Story,Peter Seamus Ou2019Toole,Match17209,"Albert Ash
Tom McLoughlin
Ernie Contreras",
Bright and Early,Billy West (silent film actor),Match14412,,
Fahrenhype 9/11,,Match22491,Lee Troxler,
Kuruthipunal,Gouthami,Match12264,Govind Nihalani (story),
The Squaw Man,Dustin Farnum,Match19112,"Edwin Milton Royle 
 Cecil B. DeMille 
 Oscar Apfel",
Premeditated Murder,Sergej Trifunovi?,Match14117,Slobodan Seleni?,
,Lloyd Vernet Bridges III,D124975,Jane Anderson,
,Muhammad Kutty,Match9991,Lohithadas,
Night of Dark Shadows,Lara Parker,Match12286,Sam Hall,
,,D124978,Keita Amemiya,
,Milton Stewart,Match8017,Charles Johnson,
Game,Gerard James Butler,D124980,,
Winnie the Pooh and a Day For Eeyore,Paul Winchell,Match17801,A. A. Milne,
Saratoga Trunk,Flora McKenzie Robson,Match14923,Edna Ferber,
,Arun Govil,Match11478,,
,Sampson DeBrier,Match9279,,
When Maryam Spoke Out,Talal El-Jordi,D124985,Assad Fouladkar,
Don't Give Up on Us,Piolo Josu00E9 Nonato Pascual,Match6108,,
,Ruth Elizabeth Davis,Match11644,Robert Rossen,
,Michel Demitri Chalhoub,D124988,Juan Antonio Bardem,
Min and Bill,Leila Marie Koerber,Match13929,Frances Marion,
Late Spring,Setsuko Hara,Match10901,Yasujiro Ozu,
,Walter Bruce Willis,Match22649,E.L. Doctorow,
The Ranchero's Revenge,Lionel Herbert Blythe,Match15238,,
,"Sean Campion
Fiona O'Shaughnessy
Fiona Glascott",Match9105,Elizabeth Gill,
Written on the Wind,Betty Joan Perske,D124994,Robert Wilder,
Dracula 3000,Langley Kirkwood,Match19406,Darrell Roodt,
,J?ji Yanami,D124996,Keiji Terui,
A Doll's House,Trevor Howard,Match14376,Henrik Ibsen,
The Battleship Potemkin,,Match11500,Sergei Tretyakov,
,Sajjad Ali,Match7707,Shafiq Ali,
A Lucky Strike,Mae Hotely,Match13837,Arthur Hotaling,
,Ninel Conde,Match7883,Rene Bueno,
Columbia Pictures,,Match12219,,
,Alisa Brunovna Freindlich,Match9241,Eldar Ryazanov,
,Ritesh Desmukh,D125004,Antara Mali,
Plan 9 from Outer Space,Conrad Brooks,Match10336,Edward Davis Wood,
Without a Clue,Matthew Sim,Match7575,Larry Strawther,
,Denis Mercier,Match12734,Monique Proulx,
Winnie the Pooh & Christmas Too,Peter Cullen,Match12344,Karl Geurs,
,Andreas Baron Freytag von Loringhoven,D125009,,
,Fredro Scruggs,D125010,"Furqaan Clover 
 Kimba Henriques",
Five Corners,"Jodie Foster, Tim Robbins, John Turturro",Match22224,John Patrick Shanley,
,Eddie Constantine,Match22422,Patrick Alexander,
,Anna Louise Friel,D125013,John Paul Chapple,
,Charles Bukowski,D125014,Barbet Schroeder,
,"Skip Lipman,
Daniel McCarthur,
Rebecca Thurmond,
Kenyon Wells",Match21516,,
The Killing of John Lennon,Krisha Fairchild,D125016,Andrew Piddington,
Sotto il sole di Roma,,Match15815,Ettore Maria Margadonna,
The Narrows,Vincent Phillip D'Onofrio,D125018,"Tatiana Blackington
Tim McLoughlin
",
The Spiral Staircase,Dorothy Hackett McGuire,D125019,,
Academy Award for Documentary Feature,Morgan Freeman,Match21281,,
,"Robert Acosta
Kelly Dougherty
Patricia Foulkrod
Nickie Huze
Sean Huze",Match17884,Patricia Foulkrod,
,Ralph David Richardson,Match8776,,
,Rajnikanth,D125023,,
,Nan Grey,Match21453,H.G. Wells,
,Lucille Fay LeSueur,Match7442,,
Nancy Drew,Emma Rose Roberts,Match11586,Tiffany Paulsen,
"Castle of Fu Manchu, The",Christopher Frank Carandini Lee,D125027,Harry Alan Towers,
Geschlecht in Fesseln,Mary Johnson,Match18071,Georg C. Klaren,
I Accuse My Parents,George Meeker,Match2015,Arthur Caesar,
,,Match2425,Inés París,
The Leopard,Burton Stephen Lancaster,Match2398,Suso Cecchi d'Amico,
,Faten Ahmed Hamama,D125032,Ezzel Dine Zulficar,
King Kong,Thomas Kretschmann,Match15347,Fran Walsh,
Berlin International Film Festival,Cornelia Froeboess,Match13457,Pea Fröhlich,
,Bernard Cribbins,Match14324,Lionel Jeffries,
The Forbidden City,Thomas Meighan,Match13518,Mary Murillo,
,Charlie Chaplin,Match16197,,
Universal Pictures,,Match14611,,
Luxo Jr.,,D125039,John Lasseter,
Trekkies,,Match13548,,
"Red Firecracker, Green Firecracker",Ning Jing,Match8437,Ye Daying,
,Ulrich Thomsen,Match13327,Kim Leona,
The Private Life of Henry VIII,Friedrich Robert Donath,Match10803,Arthur Wimperis,
,Bill Stiles,D125044,David Ball,
I'll Cry Tomorrow,Jo Van Fleet,Match15849,"Helen Deutsch 
 Jay Richard Kennedy
 Lillian Roth (book) 
Mike Connolly (book)
Gerold Frank (book)",
,Harve Presnell,Match10626,Guy Sanville,
,Anton Diffring,Match373,George Baxt,
The Wendell Baker Story,Owen Cunningham Wilson,Match585,Luke Cunningham Wilson,
,"""Weird Al"" Yankovic",Match889,,
Pushing Hands,Bo Z. Wang,Match1657,James Schamus,
,Scott Shaw,Match13305,,
,Catherine Fabienne Dorlu00E9ac,Match11261,Pascal Bonitzer,
,Reginald Owen,D125053,S. N. Behrman,
,Crass,D125054,,
Fu00E4ngelse,Birger Malmsten,Match13954,Ingmar Bergman,
The Twelfth Juror,Ben F. Wilson,Match16728,Ben F. Wilson,
Schultze Gets the Blues,Karl Fred Müller,D125057,Michael Schorr,
The Miracle Baby,Henry DeWitt Carey II,Match357,Isadore Bernstein,
The Flintstones Meet Rockula and Frankenstone,Jean Vander Pyl,Match18398,,
Jacob's Ladder,Elizabeth Pena,D125060,Bruce Joel Rubin,
Paper Moon,Madeline Kahn,Match19790,Joe David Brown,
Shocking Asia II: The Last Taboos,,Match13049,Rolf Olsen,
,Isabelle Huppert,Match17694,Christian Vincent,
,Claudia Dell,Match14367,Herman Harrison,
A Jitney Elopement,Ernest Van Pelt,Match14350,Charlie Chaplin,
Chaudhvin Ka Chand,Vasanth Kumar Shivsankar Padukone,Match5216,Saghir Usmani,
,Drew Blyth Barrymore,D125067,,
,Dharam Pishorimal Anand,Match10528,K.A. Narayan,
,Soundarya,Match2803,Norbet D'Souza,
The Wasp Woman,Anthony Eisley,Match14663,Leo Gordon,
,,D125071,Tar Yar Min Wai,
The Moviese,Lloyd Hamilton,Match1666,Roscoe Arbuckle,
,Susan Whitney,Match1231,Crane Wilbur,
Teenage Mutant Ninja Turtles II: The Secret of the Ooze,Teenage Mutant Ninja Turtles II: The Secret of the Ooze#Cast,Match888,Peter Laird,
,Ruslaan Mumtaz,D125075,Sameer Kohli,
,Yeoh Choo-Kheng,Match845,Barry Wong,
Heroes,Amrita Arora,D125077,Aseem Arora,
Near Dublin,Arthur Stanley Jefferson,Match18765,H. M. Walker,
Cops,Virginia Fox,Match17717,Edward F. Cline,
The Moon Is Blue,William Holden,Match21133,F. Hugh Herbert,
,Louise Byrdie Dantzler,Match502,A.P. Younger,
Muthal Mariyathai,Villupuram Chinnaiahpillai Ganesan,Match15326,Bharathiraja,
,Hadi Kazemi,D125083,,
Star Trek V: The Final Frontier,#Cast,Match4690,William Shatner,
Indiana Jones and the Last Crusade,Thomas Sean Connery,Match22743,George Walton Lucas Jr.,
,Robert Martin Culp,Match3566,,
,Köksal Engür,D125087,Reha Erdem,
,Victoria Sanchez,Match17216,Lori Lansens,
,Madhuri Shankar Dixit,D125089,,
That's Dancing!,Sammy Davis Jr.,Match11406,Jack Haley Jr.,
,Jatin Khanna,D125091,Javed Akhtar,
,Mamta Kulkarni,Match12676,,
,Deanna Yusoff,D125093,,
Trojan War,Marley Eve Shelton,Match14544,Scott Myers,
,Dharmendra,Match17329,,
,Juliette Binoche,Match19324,"Pierre Pradinas, Alain Gautru00E9",
No Way Out,Sidney Poitier,Match5449,Lesser Samuels,
,John Abraham (actor),D125098,Tarun Mansukhani,
Common Ground,Steven Weber (actor),Match18504,Harvey Forbes Fierstein,
,Adolphe Jean Menjou,Match19225,Charles Lederer,
All That Heaven Allows,"Roy Harold Scherer, Jr.",Match14169,"Peg Fenwick
Edna Lee (story)
Harry Lee (story)",
,Tyler Woodcock,D125102,Sean McNamara (director),
,Rajnikanth,D125103,,
,Tiny Brauer,D125104,Felix Adler,
,Chihiro Otsuka,D125105,various,
,George Hamilton,Match3394,William Humphrey,
Wanda,Barbara Loden,D125107,Barbara Loden,
The Speed Kings,Roscoe Arbuckle,Match2099,,
Better Luck Tomorrow,Jason Tobin,Match316,Justin Lin (director),
,Mihai Antonescu,Match2270,Ioan Grigorescu,
,Vikki Blanche,Match12570,Alison Tilson,
Martin Roumagnac,Jean Gabin,Match20922,Pierre-René Wolf,
Liberty Belle,André Dussollier,Match18702,Pascal Bonitzer,
New Police Story,u9673u6E2Fu751F (Chan Kong Sang),D125114,Alan Yuen,
491,Lars Lind,Match5035,Lars Gu00F6rling	Vilgot Sju00F6man,
Swing Time,Frederick Austerlitz Jr.,Match3425,Erwin S. Gelsey,
,Judd Asher Nelson,D125117,David Stephens,
La Nuit amu00E9ricaine,Jean-Pierre Aumont,Match20162,Franu00E7ois Roland Truffaut,
The Idle Class,Mack Swain,Match3782,Charles Chaplin,
Love is Cinta,Acha Septriasa,D125120,,
Critters,Scott Richard Grimes,Match19196,Don Keith Opper,
Henry V,Robert Newton,Match22246,Alan Dent,
"Yes, Giorgio",Kathryn Harrold,Match16937,"Anne Piper
Norman Steinberg",
,Nick Nichols,D125124,,
,Yitzhak Edward Asner,Match1220,Joseph Maurer,
Octobre,Luc Picard,Match16325,Francis Simard,
,Coco Martin,Match20118,"Brilliante Mendoza
Boots Agbayani Pastor",
,<BR>,Match17625,Peçi Dado,
,Thomas Bryan Taliaferro Jr.,D125129,Jerry Ross,
House of the Dead 2,Nadine Velazquez,D125130,Mark A. Altman,
,George Martin,Match6591,"Marti Leimbach
Richard Friedenberg",
,Aasha Patel,Match809,,
,Alberto Sordi,Match21779,Cesare Zavattini,
Hellfighters,Jay C. Flippen,Match4423,Clair Huffaker,
,Julio Alemán,Match15416,Caridad Bravo Adams,
Brick,Nora Angela Zehetner,Match15662,Rian Johnson,
The Great McGinty,Waldo Bruce Donlevy,Match5242,Preston Sturges,
Snow White and the Three Stooges,Peter Coe (actor),Match5059,Elwood Ullman,
Serial (film),,Match22233,,
,Hanna Schygulla,Match22512,Rainer Werner Fassbinder,
,Anne Baxter,Match15027,Robert L. Joseph,
Deadly Sins,David Lemuel Keith,Match16733,Malcolm Barbour,
,,Match20612,"Lila Garrett (story) 
 Bernie Kahn (story) 
 Stewart C. Billett (story) 
 Joseph L. McEveety (screenplay)",
Bush Christmas,John Ewart,Match18217,Ted Roberts,
Nola,Emmanuelle Grey Rossum,Match3167,"-Story-
  Alan Hruska
-Screenplay-
  Alan Hruska",
Bluebeard's Eighth Wife,Frank James Cooper,Match21196,Charles Brackett,
,Tejashree,D125147,Chimbudeven,
,Tôru Furuya,Match6076,Maurice Maeterlinck,
,Wang Lap Tat,D125149,Kuang Ni,
Luke Does the Midway,Harold Lloyd,Match8065,,
Planet of the Apes,Mark Wahlberg,Match20833,Mark Rosenthal,
The Midas Touch,Trever O'Brien,D125152,,
,Stephen Mendel,Match17684,Mark Sevi,
,Raghuvaran,D125154,,
,Maja Komorowska,Match1692,Krzysztof Zanussi,
In the Presence of a Clown,Nils Bu00F6rje Ahlstedt,Match6977,Ernst Ingmar Bergman,
Jeppe pu00E5 bjerget,Buster Larsen,Match14899,Henning Bahs,
Golden Lion,Julie Carmen,Match18711,John Nicholas Cassavetes,
Manderlay,William J. Dafoe,Match6119,Lars von Trier,
,Suhasini,D125160,,
Why Pick on Me?,Harold Lloyd,Match20422,,
,Weng Wang,D125162,Cora Caballes,
,Warren Mercer Oates,Match5121,Terrence Malick,
,Pola Alonso,Match11223,Carlos A. Olivari,
Ma vie en rose,Georges du Fresne,Match6043,Alain Berliner,
,Harihar Jariwala,Match2394,,
,Hildegard Knef,Match2985,Hanns Heinz Ewers,
Superman IV: The Quest for Peace,Jonathan Niven Cryer,Match2679,Mark Rosenthal,
Volcanoes of the Deep Sea,,Match18538,Stephen Low,
American Blackout,Cynthia McKinney,Match3689,,
,Miina Turunen,Match6027,Timo Koivusalo,
Su00F3du00F3ma Reykjavu00EDk,Björn Jörundur Friðbjörnsson,D125172,,
,Doug Stanhope,D125173,,
The Best Man,Morris Chestnut,Match9827,Malcolm D. Lee,
Hum Saath Saath Hain: We Stand United,,D125175,Sooraj R. Barjatya,
Vamp,Chris Makepeace,D125176,Richard Wenk,
The Big Idea,Harold Lloyd,D125177,,
,Carl Raddatz,Match22062,Gerhard Menzel,
It's All Gone Pete Tong,Paul Kaye,Match5262,Michael Dowse,
Pale Rider,"Clinton Eastwood, Jr.",Match943,Michael Butler,
Help!,Patrick Cargill,Match11282,Charles Wood (playwright),
Jerry Maguire,Bonnie Lynn Hunt,Match21593,Cameron Bruce Crowe,
,Rishi Kapoor,Match21981,,
,Paul Edward Winfield,Match6827,Robert B. Sherman,
Nyfes,Damian Watcyn Lewis,Match18998,Ioanna Karystiani,
,Kent Taylor,Match5432,Cyril Hume,
,Marla Lynne Sokoloff,Match70,Christopher Canaan,
,"Aniket Vishwasrao, Nishikant Kamat, Tannistha Chatterjee, Rajshree Thakur",Match21580,,
Videodrome,Deborah Harry,Match9462,David Paul Cronenberg,
The Outsiders,Emilio Estevez Sheen,Match11246,Francis Ford Coppola,
,Alexander Hammid,Match150,Maya Deren,
Hua Mu Lan,Han Chin,Match1439,,
The Savage Innocents,Peter Seamus Ou2019Toole,Match10735,Hans Rüesch,
The Two Brothers,Arthur V. Johnson,Match2564,Eleanor Hicks,
Eternally Yours,Gretchen Young,Match17761,Gene Towne,
,Rodney Mullen,Match22789,,
,Joseph Provenzano,D125197,Felix Adler,
Hatachi no binetsu,Sumiyo Yamada,Match8274,Ryosuke Hashiguchi,
The Colditz Story,Christopher Rhodes,Match17753,Ivan Foxwell,
"L'Arbre, le maire et la mu00E9diathu00E8que",Pascal Greggory,Match17668,u00C9ric Rohmer,
,Jeni Courtney,Match644,"Novel:
Rosalie K. Fry
Screenplay:
John Sayles",
